elt   S11A      S12A      S13A      S15A      S18A      S19A      S20A      S22A      S25A      
15N   6.16E-05  9.76E-05  4.47E-05  1.49E-04  1.52E-04  1.24E-04  1.41E-04  1.70E-04  2.29E-04  
16O   1.36E-01  2.10E-01  2.72E-01  6.80E-01  1.13      1.43      1.94      2.38      3.25      
17O   5.19E-04  5.28E-04  5.33E-04  5.92E-04  8.24E-04  8.46E-04  8.51E-04  9.16E-04  1.01E-03  
18O   3.47E-03  8.36E-03  2.29E-03  4.38E-03  1.49E-02  1.60E-02  1.18E-02  3.87E-03  2.52E-03  
19F   1.29E-05  3.47E-05  8.88E-06  3.45E-05  9.21E-05  2.64E-05  2.83E-05  4.87E-05  1.33E-04  
20Ne  3.12E-02  2.32E-02  4.46E-02  1.11E-01  2.77E-01  1.06E-01  1.05E-01  7.02E-02  3.94E-01  
21Ne  1.78E-04  1.57E-04  5.77E-04  4.49E-04  8.30E-04  5.94E-04  3.72E-04  5.21E-04  6.29E-04  
22Ne  2.47E-03  6.03E-03  3.50E-03  7.37E-03  1.64E-02  1.85E-02  2.28E-02  3.82E-02  4.76E-02  
22Na  2.14E-07  8.44E-08  1.45E-07  1.09E-06  3.76E-06  7.91E-07  2.96E-07  2.94E-07  3.43E-06  
23Na  1.05E-03  8.71E-04  1.08E-03  3.42E-03  9.99E-03  2.71E-03  1.53E-03  1.93E-03  1.08E-02  
24Na  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
24Mg  9.24E-03  8.21E-03  1.64E-02  2.67E-02  5.52E-02  2.51E-02  3.13E-02  4.16E-02  1.06E-01  
25Mg  1.38E-03  1.23E-03  3.07E-03  6.66E-03  1.20E-02  9.38E-03  7.68E-03  8.01E-03  2.39E-02  
26Mg  1.55E-03  1.69E-03  3.40E-03  6.50E-03  9.85E-03  1.14E-02  1.05E-02  1.28E-02  3.25E-02  
26Al  1.68E-05  2.00E-05  2.84E-05  4.30E-05  8.14E-05  8.83E-05  3.47E-05  5.91E-05  1.27E-04  
27Al  1.19E-03  1.13E-03  1.83E-03  4.62E-03  9.98E-03  3.77E-03  3.98E-03  8.40E-03  2.44E-02 
28Al  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00       
