elt   Z30A      Z30B      Z35A      Z35B      Z35C      Z40A      Z40B      Z40C    
48Ti  3.25E-10  3.34E-08  4.73E-30  5.38E-11  3.49E-07  2.25E-30  1.11E-11  1.41E-08  
49Ti  4.99E-10  9.93E-10  1.30E-27  2.65E-10  2.13E-09  1.40E-27  1.54E-11  4.43E-10  
50Ti  2.38E-09  2.88E-09  3.73E-31  9.64E-10  1.09E-09  2.15E-31  9.87E-11  1.09E-09  
47V   5.21E-17  1.48E-06  4.93E-34  1.71E-15  3.14E-07  3.75E-36  1.06E-17  1.44E-06  
48V   5.68E-16  9.36E-06  3.99E-34  3.96E-14  5.55E-05  3.88E-35  9.79E-17  1.47E-05  
49V   7.76E-15  4.14E-06  4.07E-33  3.06E-12  6.73E-06  1.27E-33  1.23E-15  8.25E-06  
50V   2.08E-14  1.38E-09  2.46E-28  2.88E-12  1.35E-09  3.66E-28  3.43E-15  2.45E-09  
51V   2.07E-10  4.35E-09  9.45E-30  2.54E-10  9.58E-09  1.55E-29  9.25E-12  3.73E-09  
48Cr  4.87E-21  4.66E-04  1.50E-39  7.88E-17  5.27E-04  1.14E-40  3.48E-21  7.56E-04  
49Cr  2.24E-21  7.87E-06  1.46E-38  7.81E-17  7.88E-06  1.31E-38  1.97E-21  1.33E-05  
50Cr  4.73E-16  6.91E-06  1.62E-32  1.77E-13  7.79E-06  2.71E-32  8.41E-17  1.53E-05  
51Cr  2.66E-14  5.25E-06  1.70E-35  1.63E-13  7.65E-06  1.38E-35  5.17E-15  1.16E-05  
52Cr  8.88E-10  4.60E-07  5.47E-31  3.66E-10  3.16E-06  9.17E-31  4.17E-11  5.95E-07  
53Cr  1.45E-10  1.06E-09  1.03E-33  5.72E-11  1.05E-09  1.64E-33  7.03E-12  1.85E-09  
54Cr  1.23E-09  1.99E-09  4.63E-36  5.39E-10  1.08E-09  7.12E-36  6.29E-11  1.41E-09  
51Mn  6.51E-17  1.10E-05  2.16E-38  9.87E-17  1.63E-05  2.21E-38  1.57E-17  2.27E-05  
52Mn  1.94E-15  1.15E-04  2.83E-37  1.68E-15  3.08E-04  2.94E-37  4.47E-16  3.04E-04  
53Mn  3.41E-15  1.21E-04  2.00E-33  2.31E-13  1.89E-04  3.50E-33  6.84E-16  2.88E-04  
54Mn  1.44E-14  2.47E-07  1.07E-36  1.19E-13  2.63E-07  1.18E-36  3.04E-15  4.73E-07  
55Mn  1.77E-10  1.57E-08  5.78E-38  2.57E-10  3.08E-08  9.84E-38  9.82E-12  1.76E-08  
52Fe  3.58E-21  2.97E-03  2.29E-40  2.27E-18  5.25E-03  2.46E-40  3.83E-21  7.36E-03  
53Fe  2.13E-23  2.56E-05  7.93E-42  3.00E-19  4.03E-05  7.53E-42  4.27E-23  4.19E-05  
54Fe  2.34E-16  8.06E-04  6.56E-36  4.80E-15  1.00E-03  1.16E-35  5.11E-17  1.94E-03  
55Fe  1.48E-14  5.73E-05  1.49E-39  6.68E-14  1.65E-04  1.67E-39  3.15E-15  9.81E-05  
56Fe  5.67E-10  4.80E-06  3.32E-40  1.59E-10  2.00E-05  6.07E-40  3.03E-11  6.42E-06  
57Fe  1.91E-10  2.73E-07  1.33E-43  1.22E-10  5.78E-07  2.29E-43  1.05E-11  6.71E-08  
58Fe  5.67E-10  7.74E-08  1.01E-46  2.55E-10  7.61E-09  1.73E-46  2.93E-11  8.45E-09  
59Fe  2.23E-10  2.68E-10  8.19E-51  2.65E-10  2.55E-10  8.43E-51  5.35E-13  1.90E-11  
60Fe  1.28E-09  1.35E-09  8.44E-55  9.78E-10  9.50E-10  5.45E-55  5.90E-14  9.60E-13  
55Co  1.00E-16  6.48E-04  1.67E-45  4.44E-17  8.75E-04  6.81E-46  2.58E-17  1.35E-03  
56Co  3.69E-15  1.27E-03  8.19E-46  1.54E-15  1.26E-02  9.29E-46  9.44E-16  2.69E-03  
57Co  3.55E-15  3.67E-04  2.70E-49  2.46E-14  1.46E-03  1.98E-49  7.56E-16  3.01E-04  
58Co  6.06E-15  2.77E-05  2.23E-52  9.37E-15  2.65E-06  1.26E-52  1.56E-15  1.01E-05  
59Co  1.41E-10  5.47E-08  3.57E-50  7.44E-12  7.87E-09  8.21E-50  8.99E-12  1.68E-08  
60Co  8.75E-11  1.58E-09  1.10E-53  2.62E-12  1.81E-10  1.59E-53  3.96E-13  3.29E-10  
61Co  9.59E-12  2.96E-11  3.07E-57  1.77E-10  2.28E-10  2.70E-57  3.99E-14  3.77E-12  
56Ni  2.34E-20  3.24E-01  5.59E-52  2.79E-19  5.77E-01  3.75E-52  3.12E-20  7.23E-01  
57Ni  6.58E-21  1.10E-02  3.14E-55  1.22E-18  1.31E-02  7.83E-56  7.23E-21  1.83E-02  
58Ni  6.14E-16  2.53E-02  7.64E-53  1.92E-16  6.12E-03  1.88E-52  1.67E-16  1.27E-02  
59Ni  7.41E-16  7.29E-04  4.03E-56  7.12E-16  5.82E-04  5.21E-56  2.19E-15  8.06E-04  
60Ni  1.18E-12  3.26E-03  4.03E-54  8.96E-13  1.27E-02  1.01E-53  1.14E-11  1.03E-02  
61Ni  9.08E-11  9.80E-05  2.85E-57  1.02E-10  4.33E-04  3.71E-57  4.19E-12  1.01E-04  
62Ni  2.40E-10  8.48E-04  1.86E-60  1.03E-10  4.92E-04  1.61E-60  1.03E-11  1.60E-04  
63Ni  2.83E-10  6.36E-10  2.22E-64  1.14E-10  1.10E-10  1.56E-64  5.37E-13  4.48E-11  
64Ni  6.65E-10  1.88E-09  4.03E-68  3.14E-10  3.06E-10  1.73E-68  1.98E-11  2.32E-10  
65Ni  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
59Cu  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
60Cu  1.10E-19  5.64E-03  2.04E-61  4.55E-18  1.58E-03  3.00E-61  5.65E-18  6.61E-03  
61Cu  3.11E-16  4.83E-04  4.44E-64  1.25E-16  2.74E-04  3.92E-64  7.00E-17  6.88E-04  
62Cu  3.65E-18  4.16E-05  6.61E-69  2.26E-18  1.33E-05  3.70E-69  4.53E-18  3.95E-05  
63Cu  1.13E-13  2.92E-05  2.35E-67  1.49E-13  2.03E-05  8.39E-67  3.37E-12  2.46E-05  
64Cu  1.88E-14  4.04E-09  1.51E-70  1.44E-14  2.07E-11  3.33E-70  2.31E-13  9.52E-11  
65Cu  1.23E-10  1.46E-09  6.41E-73  1.28E-10  2.26E-09  2.49E-73  6.01E-12  2.54E-10  
66Cu  4.77E-15  2.40E-14  8.63E-81  3.48E-14  5.51E-14  5.98E-81  4.12E-16  8.69E-15  
60Zn  4.61E-32  6.34E-05  2.16E-74  1.56E-27  4.32E-06  1.47E-74  1.87E-28  3.40E-06  
61Zn  5.61E-33  1.98E-07  1.34E-81  1.84E-29  4.91E-09  5.24E-82  6.20E-31  1.71E-09  
62Zn  2.85E-19  2.58E-03  2.34E-73  3.86E-18  7.42E-04  2.30E-73  4.54E-17  2.30E-03  
63Zn  7.09E-20  1.48E-05  2.54E-74  6.44E-18  5.65E-07  5.34E-74  2.30E-17  1.87E-05  
64Zn  3.09E-14  4.67E-04  4.52E-72  1.05E-13  3.59E-04  1.28E-71  2.19E-12  2.19E-04  
65Zn  1.41E-14  4.22E-06  4.67E-76  2.17E-14  4.20E-06  1.19E-75  1.18E-13  2.51E-06  
66Zn  1.93E-10  1.02E-05  2.97E-77  1.23E-10  7.46E-06  2.39E-77  9.44E-12  6.37E-07  
67Zn  4.13E-11  1.44E-08  1.68E-82  1.87E-11  1.50E-09  1.36E-82  2.10E-12  7.39E-10  
68Zn  2.97E-09  3.45E-09  1.50E-85  1.80E-09  1.73E-09  7.68E-86  4.31E-11  4.87E-10  
69Zn  4.19E-11  1.16E-10  5.90E-90  9.73E-10  1.20E-09  1.77E-90  6.40E-13  3.16E-12  
64Ga  8.39E-27  1.01E-05  1.51E-85  4.13E-23  7.07E-07  2.40E-85  2.54E-23  1.63E-07  
65Ga  4.95E-19  2.35E-06  1.14E-83  2.70E-19  6.88E-07  1.63E-83  1.94E-19  5.49E-07  
66Ga  1.19E-16  3.05E-05  3.16E-85  3.72E-17  1.96E-05  2.53E-85  2.63E-17  1.29E-05  
67Ga  1.57E-14  2.71E-07  1.39E-88  5.75E-15  2.68E-08  5.67E-89  1.05E-15  7.49E-08  
68Ga  8.88E-15  8.25E-11  1.21E-91  4.37E-15  5.22E-13  3.45E-92  7.49E-16  3.48E-12  
69Ga  3.65E-10  5.63E-10  6.84E-90  1.18E-09  1.29E-09  2.09E-90  5.45E-12  8.40E-11  
70Ga  1.13E-11  2.25E-11  5.41E-97  5.76E-11  6.70E-11  1.46E-98  1.36E-13  1.56E-12  
64Ge  7.85E-41  1.36E-08  0.00      5.82E-34  1.27E-10  0.00      3.91E-35  6.78E-12  
65Ge  8.98E-50  5.49E-15  0.00      3.10E-43  3.14E-18  0.00      2.00E-45  1.98E-20  
66Ge  3.73E-21  4.06E-05  9.41E-92  2.22E-21  7.15E-06  4.51E-92  1.55E-21  3.90E-05  
67Ge  1.34E-21  2.41E-08  6.61E-96  1.81E-21  1.00E-09  1.61E-96  4.98E-22  7.82E-09  
68Ge  2.11E-15  4.90E-07  0.00      1.79E-15  3.16E-09  0.00      1.33E-16  2.73E-08  
69Ge  1.79E-14  1.16E-09  0.00      8.37E-15  3.75E-13  0.00      1.37E-15  1.80E-11  
70Ge  6.47E-10  7.75E-10  2.36E-96  6.44E-10  6.29E-10  0.00      9.06E-12  2.54E-10  
71Ge  9.50E-09  1.00E-08  0.00      6.11E-09  5.85E-09  0.00      1.00E-10  1.21E-09  
Mass  22.0      28.6      22.4      27.6      33.3      23.6      28.1      38.2      
