elt   Z12A      Z13A      Z15A      Z18A      Z20A      Z22A      Z25A      Z25B    
KE    1.28      1.29      1.27      1.23      1.15      1.26      1.22      1.83    
1H    6.39      6.83      7.69      8.85      9.56      10.2      11.4      11.4      
4He   4.08      4.42      4.90      5.70      6.32      7.10      7.33      7.82      
54Mn  8.26E-08  1.57E-07  2.66E-07  5.23E-19  1.21E-21  1.04E-06  9.13E-16  8.95E-07  
55Mn  7.96E-09  1.05E-08  1.10E-08  3.58E-15  4.71E-17  2.47E-08  1.00E-11  1.93E-08  
52Fe  5.39E-04  1.09E-03  8.76E-04  4.63E-25  1.11E-27  2.17E-03  2.50E-22  4.15E-03  
53Fe  8.31E-07  1.96E-07  1.59E-08  1.91E-26  7.87E-30  1.34E-05  2.30E-24  2.52E-05  
54Fe  3.35E-04  5.40E-04  7.42E-04  1.09E-20  1.13E-23  2.52E-03  1.56E-17  2.69E-03  
55Fe  1.45E-05  4.86E-05  5.43E-05  3.73E-19  3.03E-22  5.55E-05  8.70E-16  8.14E-05  
56Fe  2.86E-06  2.57E-06  4.30E-06  2.14E-15  5.52E-18  1.75E-05  2.80E-11  1.19E-05  
57Fe  1.39E-08  8.46E-08  5.39E-08  1.29E-15  2.76E-18  5.35E-08  1.11E-11  1.33E-07  
58Fe  4.18E-09  1.04E-08  2.71E-09  1.50E-15  1.94E-18  5.82E-09  3.33E-11  1.69E-09  
59Fe  2.98E-09  1.57E-12  5.03E-13  4.58E-16  6.80E-19  1.76E-12  2.88E-11  4.20E-11  
60Fe  1.08E-08  4.55E-16  7.77E-17  7.86E-17  5.81E-19  1.45E-14  1.08E-10  1.52E-10  
55Co  1.73E-04  4.22E-04  3.52E-04  1.17E-21  8.35E-25  6.48E-04  5.87E-18  9.11E-04  
56Co  3.99E-04  1.44E-03  1.93E-03  4.35E-20  3.03E-23  7.89E-04  2.14E-16  3.53E-03  
57Co  6.80E-05  2.95E-04  2.68E-04  4.42E-20  2.51E-23  1.18E-04  2.45E-16  3.75E-04  
58Co  1.50E-06  1.45E-05  1.81E-06  2.85E-20  1.69E-23  2.45E-06  3.43E-16  7.35E-07  
59Co  1.91E-09  7.97E-09  3.48E-09  1.25E-16  1.84E-19  8.07E-09  2.75E-12  3.34E-09  
60Co  6.37E-11  1.46E-10  7.98E-11  1.06E-16  3.46E-20  3.32E-10  1.20E-12  1.25E-10  
61Co  2.35E-09  1.31E-12  1.06E-13  5.71E-17  1.50E-19  4.41E-13  4.76E-13  1.00E-11  
56Ni  8.11E-02  1.91E-01  1.60E-01  3.19E-25  3.12E-28  1.67E-01  1.63E-21  2.88E-01  
57Ni  3.54E-03  8.89E-03  5.29E-03  3.06E-25  3.64E-29  5.16E-03  4.33E-22  6.35E-03  
58Ni  2.55E-03  2.07E-02  2.92E-03  5.97E-21  1.79E-24  2.70E-03  1.45E-17  1.79E-03  
59Ni  1.80E-04  6.21E-04  2.67E-04  1.91E-20  1.17E-23  2.28E-04  1.68E-17  2.02E-04  
60Ni  2.20E-03  4.54E-03  4.82E-03  1.23E-16  1.45E-19  2.47E-03  3.28E-15  4.13E-03  
61Ni  2.39E-05  1.00E-04  9.99E-05  9.84E-17  9.39E-20  3.64E-05  5.53E-12  1.15E-04  
62Ni  2.92E-05  2.75E-04  1.36E-04  2.03E-16  1.46E-19  1.02E-04  1.31E-11  1.35E-04  
63Ni  1.79E-09  6.41E-12  7.08E-13  1.50E-16  3.18E-20  4.32E-12  1.64E-11  2.18E-11  
64Ni  3.70E-09  6.13E-12  1.25E-12  1.90E-16  8.01E-20  3.91E-12  4.19E-11  5.92E-11 
65Ni  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00       
59Cu  1.92E-14  4.77E-16  9.96E-24  5.21E-35  2.09E-39  1.47E-08  3.56E-34  1.12E-07  
60Cu  7.93E-04  6.30E-04  1.57E-04  6.62E-23  1.58E-26  2.16E-03  3.83E-22  1.93E-03  
61Cu  1.33E-04  3.22E-04  1.60E-04  7.28E-22  1.17E-25  1.97E-04  2.15E-17  1.61E-04  
62Cu  1.02E-05  5.17E-05  1.13E-05  2.66E-23  5.30E-27  9.39E-06  3.45E-19  5.93E-06  
63Cu  4.06E-06  1.44E-05  1.04E-05  4.50E-18  1.36E-20  6.79E-06  1.61E-15  7.43E-06  
64Cu  5.69E-12  7.69E-11  7.49E-12  3.21E-18  2.81E-21  1.98E-11  7.74E-16  6.08E-12  
65Cu  1.64E-08  2.25E-10  2.54E-10  2.92E-17  2.19E-20  1.51E-10  1.02E-11  3.56E-10  
66Cu  5.99E-12  2.15E-20  6.19E-21  1.14E-19  2.09E-23  5.57E-18  7.71E-16  7.77E-15  
60Zn  4.46E-09  9.35E-11  3.50E-15  1.43E-33  9.27E-38  9.93E-06  6.81E-34  7.97E-05  
61Zn  1.39E-13  2.29E-15  2.96E-22  7.84E-36  2.76E-40  3.03E-08  3.89E-33  4.68E-07  
62Zn  5.82E-04  2.88E-03  6.28E-04  2.87E-23  5.64E-26  5.92E-04  5.17E-21  3.86E-04  
63Zn  2.82E-06  4.31E-06  1.09E-06  4.33E-23  1.67E-26  6.56E-06  8.39E-22  3.80E-06  
64Zn  3.97E-05  4.48E-05  6.42E-05  5.76E-18  7.96E-21  6.94E-05  2.15E-16  9.62E-05  
65Zn  6.21E-07  1.64E-06  9.85E-07  2.12E-18  1.04E-21  8.11E-07  6.71E-16  7.55E-07  
