elt   U30A      U30B      U35A      U35B      U35C      U40A      U40B      U40C    
17O   4.42E-07  4.50E-07  3.77E-07  4.46E-07  4.49E-07  3.80E-07  4.90E-07  4.92E-07  
18O   5.55E-08  7.89E-08  4.20E-08  1.04E-07  1.33E-07  1.88E-09  1.78E-07  2.01E-07  
19F   3.43E-05  3.02E-05  2.63E-07  5.91E-05  5.57E-05  3.17E-08  1.02E-04  9.76E-05  
20Ne  4.62E-01  4.51E-01  2.48E-05  8.29E-01  8.17E-01  1.79E-05  1.26      1.24      
21Ne  9.12E-05  8.67E-05  6.87E-07  1.59E-04  1.55E-04  8.09E-08  3.26E-04  3.20E-04  
22Ne  2.59E-05  2.51E-05  5.69E-06  3.65E-05  3.58E-05  2.49E-06  8.23E-05  8.10E-05  
22Na  5.74E-06  5.59E-06  1.99E-10  9.86E-06  9.73E-06  2.18E-10  2.39E-05  2.37E-05  
23Na  1.48E-03  1.44E-03  3.50E-07  2.48E-03  2.44E-03  2.45E-07  5.14E-03  5.10E-03  
24Na  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
24Mg  2.52E-01  2.62E-01  7.27E-07  3.27E-01  3.25E-01  7.99E-07  2.80E-01  3.18E-01  
25Mg  8.55E-04  8.32E-04  8.74E-08  1.58E-03  1.55E-03  7.67E-08  2.02E-03  2.04E-03  
26Mg  6.50E-04  6.32E-04  1.33E-06  1.37E-03  1.35E-03  4.65E-08  1.80E-03  1.78E-03  
26Al  7.91E-05  7.93E-05  9.63E-09  1.61E-04  1.61E-04  7.88E-09  1.99E-04  2.01E-04  
27Al  7.78E-03  8.03E-03  1.84E-07  8.91E-03  8.95E-03  1.40E-07  7.04E-03  7.97E-03  
28Al  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
28Si  9.56E-02  2.61E-01  2.83E-06  9.47E-02  2.69E-01  3.82E-06  3.51E-02  3.67E-01  
29Si  6.77E-04  1.24E-03  1.65E-08  1.19E-03  1.44E-03  7.46E-08  5.88E-04  1.62E-03  
30Si  1.49E-03  1.67E-03  2.34E-08  1.46E-03  1.48E-03  2.40E-08  7.85E-04  1.13E-03  
31P   4.86E-04  6.90E-04  7.00E-08  4.15E-04  5.88E-04  5.00E-09  2.03E-04  5.70E-04  
32S   2.60E-03  8.86E-02  6.25E-08  3.12E-03  1.11E-01  6.15E-08  7.21E-04  1.75E-01  
33S   4.88E-05  2.07E-04  9.99E-09  7.36E-05  2.33E-04  1.04E-08  2.83E-05  2.81E-04  
34S   7.03E-05  3.19E-04  3.78E-08  1.69E-04  3.17E-04  7.85E-09  1.87E-05  3.42E-04  
35S   1.49E-07  3.13E-07  2.46E-08  1.29E-07  2.53E-07  1.82E-10  2.26E-08  2.62E-07  
36S   7.38E-08  8.45E-08  5.46E-07  5.73E-07  5.76E-07  1.16E-09  6.75E-09  1.76E-08  
35Cl  4.23E-05  1.01E-04  1.15E-08  2.71E-05  8.61E-05  1.57E-08  9.37E-06  1.02E-04  
36Cl  9.86E-08  8.12E-07  5.01E-11  8.94E-08  8.46E-07  7.02E-11  1.51E-08  1.13E-06  
37Cl  6.08E-08  3.27E-07  7.41E-08  1.54E-07  3.82E-07  9.09E-10  1.59E-08  3.23E-07  
36Ar  8.35E-05  1.74E-02  1.98E-08  9.76E-05  2.27E-02  2.56E-08  2.35E-05  3.59E-02  
37Ar  5.82E-07  1.29E-05  3.75E-12  8.43E-07  1.45E-05  2.33E-11  2.13E-07  1.56E-05  
38Ar  9.10E-07  1.08E-04  6.45E-08  6.67E-06  1.19E-04  4.69E-10  1.55E-07  1.33E-04  
40Ar  1.40E-09  1.57E-09  4.45E-08  4.58E-08  4.59E-08  7.64E-12  1.26E-10  2.95E-10  
39K   8.32E-07  5.09E-05  6.01E-11  7.39E-07  6.63E-05  6.88E-11  2.99E-07  8.17E-05  
40K   2.50E-09  2.97E-08  1.74E-13  1.47E-09  2.87E-08  3.18E-13  4.49E-10  3.00E-08  
41K   2.26E-10  3.36E-09  5.78E-09  5.95E-09  9.07E-09  1.09E-11  7.25E-11  3.19E-09  
40Ca  3.37E-07  1.60E-02  1.59E-08  9.28E-07  2.18E-02  1.84E-08  1.39E-07  3.42E-02  
41Ca  3.21E-09  4.68E-06  1.20E-12  1.02E-08  5.55E-06  1.31E-11  7.08E-10  5.90E-06  
42Ca  4.71E-09  2.97E-06  9.63E-09  3.90E-08  3.87E-06  1.74E-11  1.25E-09  4.27E-06  
43Ca  1.45E-10  4.59E-08  2.50E-09  2.80E-09  4.66E-07  6.92E-12  7.37E-11  6.05E-07  
44Ca  6.40E-10  3.69E-09  1.58E-08  1.59E-08  2.22E-08  4.00E-10  5.60E-10  7.60E-09  
45Ca  1.48E-10  1.47E-10  9.64E-09  9.86E-09  9.83E-09  4.97E-12  1.87E-11  2.06E-11  
