elt   T12A      T13A      T15A      T18A      T20A      T22A      T25A    
49V   7.84E-07  8.18E-07  8.91E-07  1.24E-06  1.56E-06  1.73E-06  3.98E-06  
50V   4.83E-09  1.90E-09  5.64E-10  3.22E-09  6.92E-09  3.21E-09  5.83E-09  
51V   1.67E-09  7.12E-10  3.16E-10  9.50E-10  5.74E-09  2.49E-09  1.13E-08  
48Cr  1.46E-04  1.67E-04  1.93E-04  1.95E-04  1.90E-04  2.26E-04  3.00E-04  
49Cr  4.12E-06  4.36E-06  3.67E-06  5.19E-06  7.86E-06  8.09E-06  6.02E-06  
50Cr  1.80E-05  8.11E-06  2.44E-06  1.08E-05  1.40E-05  1.05E-05  8.74E-06  
51Cr  1.12E-06  1.31E-06  1.02E-06  2.60E-06  4.01E-06  3.89E-06  5.60E-06  
52Cr  2.72E-07  2.95E-07  7.77E-08  2.75E-07  4.85E-07  3.39E-07  1.74E-06  
53Cr  1.24E-09  1.29E-09  5.92E-10  2.45E-09  3.70E-09  2.40E-09  3.52E-09  
54Cr  3.00E-10  2.69E-10  1.97E-10  8.04E-10  8.26E-10  6.91E-10  1.07E-09  
51Mn  5.22E-06  7.28E-06  4.52E-06  1.12E-05  2.16E-05  1.97E-05  1.42E-05  
52Mn  1.31E-05  2.07E-05  2.15E-05  3.26E-05  6.35E-05  7.20E-05  1.51E-04  
53Mn  2.97E-05  3.90E-05  3.44E-05  5.95E-05  9.92E-05  1.03E-04  1.14E-04  
54Mn  2.39E-07  2.34E-07  9.62E-08  5.32E-07  5.41E-07  3.93E-07  3.73E-07  
55Mn  5.67E-09  5.64E-09  2.89E-09  1.28E-08  1.34E-08  1.07E-08  1.96E-08  
52Fe  7.92E-04  1.31E-03  1.04E-03  1.55E-03  3.50E-03  3.62E-03  2.82E-03  
53Fe  2.48E-05  3.32E-05  1.96E-05  3.36E-05  8.07E-05  7.54E-05  3.41E-05  
54Fe  6.99E-04  6.91E-04  2.87E-04  1.17E-03  1.32E-03  1.02E-03  8.93E-04  
55Fe  1.10E-05  1.38E-05  7.79E-06  3.25E-05  2.54E-05  2.47E-05  6.94E-05  
56Fe  4.25E-06  3.72E-06  1.36E-06  4.03E-06  7.02E-06  5.24E-06  9.36E-06  
57Fe  1.75E-08  1.82E-08  1.63E-08  2.94E-08  3.50E-08  3.57E-08  1.91E-07  
58Fe  6.07E-09  4.06E-09  6.68E-09  1.18E-08  1.16E-08  1.67E-08  3.48E-08  
59Fe  1.86E-09  5.29E-10  2.98E-09  2.67E-09  2.08E-09  3.03E-09  7.23E-09  
60Fe  2.44E-09  1.24E-10  7.47E-09  6.79E-09  2.44E-09  2.57E-09  4.02E-09  
55Co  1.99E-04  2.65E-04  1.53E-04  5.23E-04  5.23E-04  4.71E-04  5.20E-04  
56Co  1.07E-04  1.64E-04  1.24E-04  3.73E-04  3.78E-04  4.10E-04  3.40E-03  
57Co  1.12E-05  1.43E-05  8.71E-06  2.86E-05  2.27E-05  2.42E-05  4.04E-04  
58Co  1.08E-07  7.88E-08  8.17E-08  1.10E-06  1.31E-07  1.24E-07  6.61E-07  
59Co  2.73E-09  2.32E-09  2.27E-09  7.47E-09  9.43E-09  7.80E-09  1.82E-08  
60Co  1.68E-10  1.62E-10  1.92E-10  4.05E-10  3.48E-10  4.62E-10  9.49E-10  
61Co  8.77E-10  3.21E-11  9.33E-09  5.05E-09  1.01E-09  6.74E-10  5.29E-10  
56Ni  5.44E-02  8.92E-02  6.35E-02  1.61E-01  9.01E-02  1.23E-01  2.03E-01  
57Ni  2.15E-03  2.81E-03  1.49E-03  4.79E-03  9.74E-04  1.72E-03  4.65E-03  
58Ni  2.68E-04  2.96E-04  8.07E-04  1.78E-03  2.65E-04  4.36E-04  1.57E-03  
59Ni  5.11E-05  4.15E-05  3.35E-05  2.34E-04  5.56E-06  1.70E-05  2.03E-04  
60Ni  3.47E-04  5.42E-04  4.93E-04  8.43E-04  2.31E-04  4.77E-04  4.12E-03  
61Ni  2.39E-06  3.60E-06  3.66E-06  6.62E-06  4.84E-06  8.71E-06  1.40E-04  
62Ni  7.19E-07  7.42E-07  7.64E-08  2.40E-06  6.76E-08  3.06E-08  1.46E-04  
63Ni  4.11E-10  2.41E-10  4.06E-10  8.56E-10  3.69E-10  6.34E-10  1.73E-09  
64Ni  7.02E-10  3.15E-10  9.24E-10  2.19E-09  1.81E-09  2.89E-09  5.53E-09 
65Ni  0.00      0.00      0.00      0.00      0.00      0.00      0.00       
59Cu  5.73E-07  2.03E-07  3.35E-08  1.24E-06  2.27E-08  6.39E-08  1.47E-09  
60Cu  1.70E-03  2.04E-03  1.41E-03  3.34E-03  9.97E-05  7.63E-04  8.99E-04  
61Cu  9.49E-05  1.12E-04  9.06E-05  2.15E-04  8.36E-06  5.22E-05  1.28E-04  
62Cu  1.75E-06  1.50E-06  1.17E-07  5.09E-06  1.05E-08  4.33E-09  4.77E-06  
63Cu  1.88E-06  3.16E-06  1.42E-06  1.88E-06  1.58E-07  1.80E-07  8.89E-06  
64Cu  1.15E-11  2.82E-11  4.75E-11  8.92E-11  5.11E-11  1.10E-10  2.67E-10  
65Cu  1.47E-10  9.40E-11  5.82E-10  8.58E-10  7.94E-10  1.06E-09  2.79E-09  
66Cu  4.43E-12  2.94E-12  5.15E-13  9.02E-13  7.64E-13  1.46E-12  1.38E-12  
60Zn  1.69E-04  1.29E-04  4.12E-05  2.10E-04  6.65E-06  4.44E-05  3.63E-06  
61Zn  1.70E-06  9.74E-07  2.09E-07  1.82E-06  3.84E-08  3.32E-07  6.03E-09  
62Zn  1.95E-04  1.49E-04  1.03E-05  5.14E-04  9.50E-07  3.84E-07  2.72E-04  
63Zn  1.16E-05  1.49E-05  5.39E-06  9.57E-06  1.50E-07  3.01E-07  8.65E-07  
64Zn  6.69E-05  1.18E-04  2.08E-04  4.84E-05  1.37E-05  6.63E-05  1.21E-04  
65Zn  2.49E-07  3.90E-07  8.89E-07  3.24E-07  1.29E-07  5.69E-07  1.66E-06  
66Zn  2.10E-09  3.08E-09  3.63E-09  6.07E-09  1.83E-08  4.22E-08  2.41E-06  
67Zn  3.96E-11  2.38E-11  5.44E-11  1.75E-10  1.15E-10  2.16E-10  1.07E-09  
68Zn  1.46E-10  6.51E-11  2.09E-10  8.89E-10  6.02E-10  8.95E-10  1.69E-09  
69Zn  8.81E-12  4.95E-12  2.31E-11  3.10E-11  1.44E-11  2.25E-11  4.45E-11  
64Ga  1.27E-05  1.30E-05  1.09E-05  5.68E-06  3.99E-07  5.22E-06  5.29E-07  
65Ga  5.22E-07  6.05E-07  1.10E-06  5.41E-07  2.16E-08  5.00E-07  5.48E-07  
66Ga  3.13E-07  3.86E-07  3.56E-07  7.19E-07  9.50E-08  3.14E-07  6.94E-06  
67Ga  3.72E-09  3.86E-09  5.33E-09  5.58E-09  1.78E-10  1.06E-09  1.71E-08  
68Ga  1.13E-13  1.32E-12  1.84E-12  3.04E-12  5.48E-13  2.22E-12  7.82E-12  
69Ga  2.03E-11  1.10E-11  6.06E-11  1.80E-10  1.52E-10  1.43E-10  4.55E-10  
70Ga  6.93E-13  2.04E-12  2.31E-12  7.85E-12  3.34E-12  5.47E-12  1.19E-11  
64Ge  2.97E-07  1.88E-07  4.68E-08  7.12E-08  5.20E-09  5.66E-08  1.63E-10  
65Ge  1.05E-11  2.48E-12  1.01E-13  1.54E-12  7.21E-14  9.38E-13  1.52E-17  
66Ge  6.39E-06  6.48E-06  4.93E-06  1.27E-05  8.54E-08  1.21E-06  4.12E-06  
67Ge  8.84E-09  6.90E-09  7.98E-09  1.13E-08  1.98E-11  9.05E-10  1.63E-09  
68Ge  1.35E-09  1.05E-09  9.31E-10  1.35E-09  9.76E-12  7.77E-11  1.04E-09  
69Ge  4.48E-13  3.36E-12  2.09E-12  3.75E-12  2.98E-12  2.81E-12  5.16E-12  
70Ge  2.40E-11  7.17E-11  2.10E-10  5.79E-10  6.12E-10  3.97E-10  9.60E-10  
71Ge  1.25E-10  2.39E-11  1.14E-10  1.06E-09  1.85E-10  3.57E-10  4.88E-10  
Mass  10.8      11.6      13.5      16.5      18.1      20.1      23.3      
