elt   T12A      T13A      T15A      T18A      T20A      T22A      T25A    
1H    6.39      6.82      7.64      8.80      9.22      9.95      10.7      
4He   3.91      4.31      5.08      6.12      6.58      7.42      8.53      
2H    4.58E-05  4.58E-05  4.56E-05  5.14E-05  5.17E-05  5.16E-05  5.18E-05  
3He   2.26E-04  2.35E-04  2.55E-04  2.75E-04  2.91E-04  3.11E-04  3.36E-04  
7Li   3.17E-07  2.95E-07  1.07E-07  1.14E-07  3.99E-08  4.84E-08  7.69E-08  
7Be   1.70E-07  1.98E-07  1.30E-07  2.03E-07  2.15E-07  3.87E-07  3.86E-07  
9Be   1.25E-11  1.16E-11  3.53E-13  1.43E-13  7.24E-14  1.24E-13  1.02E-13  
10B   5.39E-12  8.45E-12  1.21E-11  1.13E-11  8.73E-12  1.27E-11  9.13E-12  
11B   1.90E-07  3.80E-07  4.40E-07  4.63E-07  3.73E-07  6.26E-07  5.50E-07  
11C   1.95E-07  3.06E-07  1.43E-07  1.58E-07  1.42E-07  2.97E-07  2.03E-07  
12C   7.39E-02  1.09E-01  1.43E-01  2.19E-01  2.15E-01  2.73E-01  2.95E-01  
13C   4.02E-06  4.86E-06  9.81E-06  1.27E-05  1.48E-05  2.01E-05  1.75E-05  
14C   2.53E-07  1.50E-07  8.58E-07  8.18E-07  4.91E-07  5.21E-07  4.58E-07  
13N   2.15E-06  2.54E-06  8.91E-07  1.26E-06  2.22E-06  3.48E-06  2.80E-06  
14N   8.92E-06  1.09E-05  1.25E-05  1.53E-05  1.50E-05  1.85E-05  1.79E-05  
15N   8.79E-06  8.76E-06  1.94E-05  4.18E-05  8.53E-05  8.87E-05  1.27E-04  
16O   1.46E-01  1.81E-01  3.83E-01  7.66E-01  1.51      1.73      2.78      
17O   5.95E-07  6.63E-07  5.51E-07  6.20E-07  1.01E-06  7.63E-07  5.02E-07  
18O   2.56E-07  3.92E-07  5.46E-07  6.47E-07  6.88E-07  3.30E-07  2.22E-07  
19F   9.77E-06  9.94E-07  3.38E-06  4.00E-05  3.19E-06  3.50E-06  4.61E-06  
20Ne  5.59E-02  1.04E-02  3.40E-02  2.03E-01  5.89E-02  6.52E-02  8.17E-02  
21Ne  1.20E-05  2.58E-06  7.70E-06  5.89E-05  5.88E-06  1.38E-05  1.50E-05  
22Ne  4.34E-06  1.23E-06  1.20E-06  1.35E-05  3.95E-06  5.01E-06  7.54E-06  
22Na  9.36E-07  1.41E-07  3.59E-07  2.23E-06  2.26E-07  9.85E-07  9.88E-07  
23Na  4.24E-04  2.83E-05  5.92E-05  1.55E-03  1.85E-05  1.17E-04  2.53E-04  
24Na  0.00      0.00      0.00      0.00      0.00      0.00      0.00      
24Mg  8.42E-03  7.50E-03  1.77E-02  5.67E-02  1.67E-02  3.27E-02  9.59E-02  
25Mg  7.47E-05  2.51E-05  9.41E-05  6.02E-04  6.59E-05  1.49E-04  2.34E-04  
26Mg  6.95E-05  6.75E-06  6.84E-05  7.22E-04  1.27E-05  8.04E-05  1.54E-04  
26Al  1.34E-06  9.13E-06  1.45E-05  4.09E-05  2.99E-06  2.16E-05  3.28E-05  
27Al  2.42E-04  1.37E-04  5.79E-04  2.09E-03  9.42E-04  1.32E-03  4.29E-03  
28Al  0.00      0.00      0.00      0.00      0.00      0.00      0.00      
28Si  6.02E-02  5.20E-02  5.21E-02  9.73E-02  2.41E-01  2.79E-01  3.59E-01  
29Si  8.52E-05  9.57E-05  2.53E-04  5.72E-04  9.92E-04  7.83E-04  1.41E-03  
30Si  1.25E-05  1.56E-05  1.78E-04  5.21E-04  4.44E-04  2.99E-04  1.31E-03  
31P   1.26E-04  7.60E-05  9.92E-05  2.31E-04  7.72E-04  6.58E-04  1.15E-03  
32S   4.77E-02  2.76E-02  2.34E-02  3.74E-02  1.41E-01  1.66E-01  1.62E-01  
33S   1.29E-04  7.19E-05  7.00E-05  1.33E-04  7.51E-04  6.85E-04  8.99E-04  
34S   1.98E-04  1.09E-04  1.02E-04  2.59E-04  1.43E-03  5.44E-04  6.65E-04  
35S   1.06E-07  5.91E-08  6.89E-08  1.54E-07  1.24E-06  7.55E-07  1.03E-06  
36S   4.38E-09  2.30E-09  6.67E-09  1.63E-08  1.81E-07  7.32E-08  1.46E-07  
35Cl  1.03E-04  3.56E-05  2.26E-05  5.03E-05  5.31E-04  4.29E-04  5.63E-04  
36Cl  6.98E-07  3.38E-07  2.43E-07  4.68E-07  4.61E-06  3.43E-06  3.86E-06  
37Cl  3.86E-07  1.75E-07  9.58E-08  1.92E-07  8.07E-06  4.87E-06  7.15E-06  
36Ar  1.11E-02  5.63E-03  4.74E-03  6.93E-03  3.25E-02  3.49E-02  3.08E-02  
37Ar  2.55E-05  8.21E-06  5.75E-06  6.08E-06  1.22E-04  1.07E-04  1.10E-04  
38Ar  4.85E-04  1.51E-04  4.04E-05  8.52E-05  9.59E-04  5.59E-04  3.59E-04  
40Ar  4.07E-10  9.78E-11  1.59E-10  2.12E-10  8.97E-09  3.28E-09  1.02E-08  
39K   1.83E-04  3.94E-05  1.59E-05  3.26E-05  3.42E-04  3.88E-04  4.24E-04  
40K   7.34E-08  2.27E-08  9.43E-09  1.80E-08  6.87E-07  5.22E-07  9.54E-07  
41K   8.03E-09  2.49E-09  9.80E-10  1.62E-09  7.76E-08  5.73E-08  1.13E-07  
40Ca  1.17E-02  5.03E-03  4.44E-03  6.02E-03  1.89E-02  2.30E-02  1.88E-02  
41Ca  1.31E-05  2.60E-06  1.91E-06  2.06E-06  2.85E-05  3.15E-05  4.09E-05  
42Ca  2.34E-05  5.80E-06  1.32E-06  2.57E-06  4.02E-05  2.75E-05  2.16E-05  
43Ca  6.90E-08  2.41E-08  1.26E-08  3.13E-08  4.42E-07  2.58E-07  5.93E-07  
44Ca  3.08E-09  1.19E-09  1.07E-09  1.43E-09  2.01E-07  4.00E-08  1.94E-07  
45Ca  1.67E-11  4.38E-12  6.25E-12  6.69E-12  4.07E-10  4.31E-11  3.68E-10  
46Ca  4.14E-12  7.82E-13  8.28E-12  7.95E-12  3.46E-11  5.48E-12  3.02E-11  
47Ca  1.12E-12  4.58E-14  4.66E-12  3.70E-12  1.06E-12  9.63E-13  1.33E-12  
48Ca  1.08E-12  2.27E-14  1.21E-11  6.26E-12  1.09E-12  5.33E-13  5.10E-13  
43Sc  5.40E-07  2.14E-07  1.38E-07  4.93E-07  3.73E-07  3.76E-07  3.83E-07  
45Sc  9.24E-08  6.94E-08  5.70E-07  1.37E-07  2.50E-07  1.82E-07  1.77E-06  
44Ti  6.42E-05  5.80E-05  6.29E-05  6.66E-05  1.31E-05  2.82E-05  1.04E-04  
45Ti  1.45E-06  1.42E-06  1.01E-05  3.20E-06  3.12E-07  8.19E-07  1.52E-06  
46Ti  1.02E-05  2.82E-06  4.95E-06  1.81E-06  6.75E-06  4.00E-06  3.82E-06  
47Ti  1.85E-07  1.39E-07  4.18E-07  2.94E-07  3.06E-07  2.33E-07  1.28E-06  
48Ti  1.13E-08  4.04E-09  2.09E-09  4.28E-09  7.09E-08  2.83E-08  2.29E-07  
49Ti  2.66E-10  9.07E-11  5.82E-11  1.26E-10  2.57E-09  6.37E-10  3.83E-09  
50Ti  4.67E-11  2.22E-11  2.88E-11  6.21E-11  1.67E-10  8.79E-11  1.92E-10  
47V   5.78E-07  4.35E-07  1.15E-06  1.04E-06  4.50E-07  4.49E-07  3.65E-07  
48V   9.06E-07  1.11E-06  1.53E-06  1.44E-06  1.71E-06  2.66E-06  2.63E-05  
