elt   T12A      T13A      T15A      T18A      T20A      T22A      T25A    
36Ar  2.82E-03  4.83E-03  6.98E-03  1.14E-02  3.69E-02  2.86E-02  5.00E-02  
37Ar  2.08E-06  2.59E-06  5.03E-06  1.66E-05  1.65E-04  8.02E-05  2.71E-04  
38Ar  1.15E-05  1.49E-05  5.63E-05  2.87E-04  1.31E-03  4.31E-04  1.14E-03  
40Ar  2.46E-09  1.12E-08  1.33E-08  1.16E-08  2.65E-08  2.64E-08  3.51E-08  
39K   1.06E-05  1.38E-05  2.69E-05  8.81E-05  5.66E-04  3.22E-04  1.05E-03  
40K   3.81E-09  5.54E-09  1.44E-08  6.36E-08  1.21E-06  8.67E-07  2.08E-06  
41K   9.57E-09  8.99E-09  1.23E-08  2.25E-08  1.26E-07  8.80E-08  2.01E-07  
40Ca  2.62E-03  4.90E-03  6.47E-03  9.95E-03  1.84E-02  1.93E-02  1.94E-02  
41Ca  1.15E-06  1.31E-06  2.06E-06  6.17E-06  3.88E-05  2.26E-05  7.13E-05  
42Ca  1.03E-06  1.04E-06  2.25E-06  1.10E-05  6.98E-05  2.02E-05  7.78E-05  
43Ca  1.13E-08  1.14E-08  2.80E-08  6.36E-08  7.78E-07  3.05E-07  1.18E-06  
44Ca  2.14E-08  2.41E-08  3.06E-08  4.65E-08  3.61E-07  2.26E-07  5.53E-07  
45Ca  3.24E-10  8.82E-10  1.29E-09  1.47E-09  1.46E-09  1.62E-09  1.45E-09  
46Ca  1.42E-10  8.15E-10  9.32E-10  5.05E-10  3.55E-10  4.04E-10  1.63E-10  
47Ca  2.22E-11  3.81E-10  4.03E-10  1.01E-10  6.47E-11  5.69E-11  7.58E-12  
48Ca  1.21E-11  4.00E-10  4.65E-10  5.99E-11  3.42E-11  2.66E-11  1.40E-11  
43Sc  3.81E-07  4.11E-07  6.00E-07  4.11E-07  5.39E-07  2.30E-07  6.51E-07  
45Sc  4.84E-08  5.37E-08  1.15E-07  8.93E-08  3.17E-07  2.54E-07  2.47E-06  
44Ti  6.13E-05  6.40E-05  9.06E-05  4.95E-05  1.24E-05  1.46E-05  1.11E-04  
45Ti  1.63E-06  2.16E-06  3.17E-06  2.08E-06  3.41E-07  3.25E-07  1.59E-06  
46Ti  2.21E-06  1.92E-06  2.23E-06  4.42E-06  9.18E-06  3.51E-06  1.16E-05  
47Ti  1.28E-07  1.23E-07  2.79E-07  1.86E-07  3.80E-07  2.73E-07  1.70E-06  
48Ti  7.05E-08  7.50E-08  8.80E-08  1.12E-07  2.02E-07  1.81E-07  4.77E-07  
49Ti  3.91E-09  4.55E-09  5.84E-09  1.03E-08  1.30E-08  1.37E-08  1.98E-08  
50Ti  1.46E-09  2.69E-09  4.23E-09  1.11E-08  1.01E-08  1.54E-08  1.61E-08  
47V   7.34E-07  8.48E-07  1.24E-06  6.27E-07  4.26E-07  4.31E-07  3.46E-07  
48V   7.18E-07  8.61E-07  1.45E-06  1.25E-06  1.42E-06  2.43E-06  3.21E-05  
49V   5.03E-07  6.50E-07  1.00E-06  1.17E-06  1.55E-06  1.75E-06  4.37E-06  
50V   2.41E-10  4.70E-10  1.33E-09  5.03E-09  8.30E-09  6.71E-09  1.02E-08  
51V   4.90E-09  5.77E-09  7.22E-09  9.95E-09  1.64E-08  1.59E-08  2.54E-08  
48Cr  1.45E-04  1.93E-04  2.43E-04  1.90E-04  1.66E-04  2.00E-04  2.75E-04  
49Cr  3.40E-06  4.97E-06  5.93E-06  6.11E-06  7.11E-06  8.04E-06  5.30E-06  
50Cr  1.15E-06  2.11E-06  5.07E-06  1.60E-05  1.51E-05  1.31E-05  1.17E-05  
51Cr  4.94E-07  9.95E-07  1.55E-06  2.76E-06  4.05E-06  4.33E-06  5.57E-06  
52Cr  7.81E-07  8.43E-07  1.06E-06  1.65E-06  1.75E-06  1.79E-06  3.79E-06  
53Cr  4.15E-08  4.50E-08  5.27E-08  6.64E-08  7.06E-08  7.75E-08  8.74E-08  
54Cr  9.84E-09  1.72E-08  2.31E-08  4.40E-08  3.65E-08  4.66E-08  4.50E-08  
51Mn  3.15E-06  7.29E-06  9.24E-06  1.43E-05  1.97E-05  2.13E-05  1.27E-05  
52Mn  1.09E-05  2.04E-05  2.65E-05  3.86E-05  6.01E-05  7.31E-05  1.62E-04  
53Mn  1.89E-05  3.51E-05  4.56E-05  7.08E-05  9.58E-05  1.09E-04  1.04E-04  
54Mn  3.95E-08  8.86E-08  2.17E-07  5.61E-07  5.76E-07  5.50E-07  4.30E-07  
55Mn  1.46E-07  1.63E-07  1.91E-07  2.25E-07  2.35E-07  2.57E-07  2.91E-07  
52Fe  7.37E-04  1.58E-03  1.62E-03  2.17E-03  3.10E-03  3.60E-03  2.36E-03  
53Fe  1.72E-05  3.89E-05  3.97E-05  5.39E-05  6.93E-05  7.62E-05  2.91E-05  
54Fe  1.38E-04  2.80E-04  5.88E-04  1.35E-03  1.33E-03  1.37E-03  9.78E-04  
55Fe  1.78E-05  2.35E-05  2.75E-05  2.63E-05  2.52E-05  2.66E-05  7.50E-05  
56Fe  5.08E-05  5.41E-05  6.32E-05  7.86E-05  8.38E-05  8.93E-05  1.05E-04  
57Fe  1.60E-06  1.79E-06  2.12E-06  2.69E-06  2.82E-06  3.24E-06  3.80E-06  
58Fe  4.06E-07  7.25E-07  9.26E-07  1.60E-06  1.36E-06  1.81E-06  1.62E-06  
59Fe  1.09E-07  3.08E-07  3.66E-07  2.60E-07  2.80E-07  3.41E-07  1.40E-07  
60Fe  4.51E-08  3.57E-07  3.57E-07  1.66E-07  1.45E-07  1.42E-07  2.40E-08  
55Co  2.46E-04  3.79E-04  4.42E-04  4.94E-04  4.83E-04  5.27E-04  5.03E-04  
56Co  2.52E-04  3.02E-04  3.55E-04  2.66E-04  3.59E-04  4.70E-04  3.80E-03  
57Co  3.13E-05  3.02E-05  3.85E-05  1.63E-05  2.17E-05  3.06E-05  4.75E-04  
58Co  3.39E-06  3.28E-06  3.74E-06  1.90E-07  1.37E-07  1.51E-07  6.97E-07  
59Co  1.02E-07  1.32E-07  1.98E-07  4.94E-07  3.53E-07  5.86E-07  5.87E-07  
60Co  2.24E-08  3.31E-08  4.94E-08  6.29E-08  5.92E-08  6.78E-08  4.01E-08  
61Co  1.03E-08  1.73E-07  2.48E-07  5.69E-08  3.26E-08  2.93E-08  8.48E-09  
56Ni  1.52E-01  1.91E-01  1.71E-01  1.35E-01  7.31E-02  9.89E-02  1.87E-01  
57Ni  5.63E-03  6.25E-03  5.66E-03  3.39E-03  7.12E-04  1.17E-03  4.58E-03  
58Ni  5.17E-03  5.13E-03  4.09E-03  4.30E-04  2.32E-04  3.01E-04  1.48E-03  
59Ni  2.54E-04  2.65E-04  2.62E-04  6.85E-05  3.59E-06  8.15E-06  2.14E-04  
60Ni  5.64E-04  4.93E-04  7.75E-04  4.93E-04  1.33E-04  3.17E-04  4.48E-03  
61Ni  4.91E-06  4.32E-06  6.91E-06  3.77E-06  2.53E-06  8.89E-06  1.73E-04  
62Ni  2.14E-06  1.63E-06  3.57E-06  1.49E-06  1.69E-06  1.51E-06  1.73E-04  
63Ni  5.95E-08  8.17E-08  1.36E-07  2.65E-07  1.61E-07  1.49E-07  9.18E-08  
64Ni  8.25E-08  1.23E-07  2.42E-07  7.91E-07  6.41E-07  1.18E-06  1.21E-06  
65Ni  1.22E-08  3.27E-08  4.51E-08  1.67E-08  1.56E-08  1.88E-08  9.67E-09  
59Cu  1.95E-05  2.50E-05  3.09E-06  9.39E-07  9.48E-09  1.98E-08  4.71E-09  
60Cu  3.48E-03  3.84E-03  3.82E-03  2.41E-03  3.72E-07  2.28E-04  4.87E-04  
61Cu  2.39E-04  2.62E-04  2.63E-04  1.35E-04  1.97E-06  1.52E-05  1.03E-04  
62Cu  6.37E-06  5.67E-06  7.63E-06  1.76E-06  2.41E-08  6.12E-09  5.47E-06  
63Cu  1.22E-06  1.20E-06  2.66E-06  1.19E-06  3.62E-07  4.15E-07  1.10E-05  
64Cu  2.18E-09  4.36E-09  1.07E-08  1.25E-08  9.20E-09  4.19E-08  2.82E-08  
65Cu  1.60E-08  2.73E-08  6.11E-08  2.46E-07  2.29E-07  5.42E-07  5.91E-07  
66Cu  1.59E-09  2.32E-09  4.63E-09  4.16E-10  2.17E-09  8.72E-10  6.89E-10  
60Zn  5.90E-04  9.11E-04  3.66E-04  2.40E-04  6.89E-10  1.15E-05  3.89E-06  
61Zn  1.45E-05  2.14E-05  4.37E-06  2.52E-06  8.90E-13  6.56E-08  1.16E-08  
62Zn  8.94E-04  9.15E-04  8.25E-04  2.03E-04  1.32E-06  4.68E-07  3.12E-04  
63Zn  9.88E-06  1.17E-05  1.61E-05  6.72E-06  5.53E-09  1.36E-07  7.26E-07  
64Zn  1.16E-04  1.11E-04  1.28E-04  6.59E-05  2.99E-06  2.64E-05  8.15E-05  
65Zn  3.57E-07  3.38E-07  5.69E-07  2.72E-07  5.83E-08  3.44E-07  1.45E-06  
66Zn  4.71E-08  7.26E-08  1.73E-07  4.68E-07  1.30E-06  1.26E-06  5.33E-06  
67Zn  5.22E-09  8.91E-09  1.88E-08  9.80E-08  6.14E-08  8.14E-08  1.03E-07  
68Zn  2.39E-08  4.07E-08  9.95E-08  4.36E-07  5.19E-07  1.01E-06  1.17E-06  
69Zn  4.57E-09  5.36E-09  1.27E-08  4.50E-09  8.53E-09  1.09E-08  9.45E-09  
64Ga  2.80E-05  3.74E-05  2.29E-05  1.18E-05  3.70E-12  1.06E-06  2.54E-07  
65Ga  9.20E-07  1.04E-06  1.13E-06  4.78E-07  2.13E-11  9.44E-08  1.92E-07  
66Ga  7.60E-07  6.61E-07  1.01E-06  3.12E-07  2.06E-08  2.06E-07  8.53E-06  
67Ga  7.06E-09  6.44E-09  1.57E-08  7.48E-09  2.82E-09  9.04E-09  3.17E-08  
68Ga  1.77E-10  3.85E-10  8.34E-10  1.52E-09  5.14E-10  2.09E-09  1.98E-09  
69Ga  3.40E-09  6.41E-09  2.20E-08  7.86E-08  1.22E-07  2.59E-07  4.43E-07  
70Ga  9.09E-10  1.69E-09  3.47E-09  3.20E-09  5.12E-09  7.43E-09  7.80E-09  
64Ge  1.11E-06  1.98E-06  4.74E-07  2.84E-07  2.01E-17  9.35E-09  1.90E-10  
65Ge  2.90E-09  1.80E-09  1.52E-11  1.53E-11  2.53E-19  9.23E-14  1.46E-16  
66Ge  2.11E-05  2.22E-05  2.08E-05  6.60E-06  1.19E-08  2.20E-07  3.26E-06  
67Ge  2.19E-08  2.09E-08  3.27E-08  5.13E-09  9.63E-13  1.12E-10  7.21E-10  
68Ge  8.58E-09  6.98E-09  8.28E-09  6.76E-09  1.13E-09  2.24E-09  5.87E-09  
69Ge  3.97E-10  4.08E-10  7.06E-10  1.70E-09  4.49E-09  4.38E-09  8.73E-09  
70Ge  1.77E-08  2.75E-08  8.90E-08  1.96E-07  9.61E-07  9.97E-07  2.22E-06  
71Ge  1.37E-08  2.41E-08  6.59E-08  3.27E-07  3.11E-07  4.80E-07  6.44E-07  
Mass  10.7      11.6      13.5      16.5      18.1      20.1      23.3      
