elt   P12A      P13A      P15A      P18A      P20A      P22A      P25A    
21Ne  6.44E-05  7.26E-05  1.55E-04  1.49E-04  1.03E-04  6.87E-05  3.99E-05  
22Ne  1.36E-03  3.48E-04  5.51E-04  1.84E-03  3.00E-03  3.66E-03  4.28E-03  
22Na  1.10E-07  4.11E-07  6.21E-07  2.02E-06  7.93E-07  2.34E-07  5.17E-07  
23Na  1.14E-04  4.09E-04  6.38E-04  1.92E-03  5.93E-04  2.12E-04  3.35E-04  
24Na  0.00      0.00      0.00      0.00      0.00      0.00      0.00      
24Mg  5.47E-03  1.69E-02  2.17E-02  7.79E-02  5.15E-02  1.73E-02  3.05E-02  
25Mg  2.12E-04  4.17E-04  6.01E-04  1.27E-03  1.15E-03  7.12E-04  7.92E-04  
26Mg  1.69E-04  3.16E-04  5.13E-04  1.18E-03  1.23E-03  9.99E-04  1.21E-03  
26Al  8.53E-06  1.65E-05  1.87E-05  6.51E-05  4.77E-05  1.03E-05  1.74E-05  
27Al  2.37E-04  8.70E-04  1.09E-03  4.04E-03  2.84E-03  1.75E-03  3.03E-03  
28Al  0.00      0.00      0.00      0.00      0.00      0.00      0.00      
28Si  3.02E-02  6.50E-02  7.11E-02  1.27E-01  2.32E-01  3.26E-01  3.95E-01  
29Si  1.56E-04  3.34E-04  4.16E-04  1.08E-03  1.18E-03  1.66E-03  2.24E-03  
30Si  9.52E-05  3.98E-04  4.36E-04  1.39E-03  9.37E-04  1.05E-03  1.83E-03  
31P   6.54E-05  1.67E-04  1.79E-04  4.42E-04  7.04E-04  1.35E-03  2.14E-03  
32S   1.36E-02  3.15E-02  3.40E-02  4.80E-02  1.29E-01  1.84E-01  2.17E-01  
33S   4.67E-05  9.60E-05  1.04E-04  1.83E-04  5.46E-04  1.08E-03  1.66E-03  
34S   1.07E-04  1.97E-04  2.44E-04  5.36E-04  1.17E-03  3.81E-03  4.68E-03  
35S   2.06E-07  3.56E-07  4.01E-07  6.64E-07  1.34E-06  3.49E-06  4.66E-06  
36S   2.10E-07  2.56E-07  3.45E-07  5.57E-07  8.20E-07  1.02E-06  1.27E-06  
35Cl  1.90E-05  5.10E-05  4.23E-05  8.43E-05  3.93E-04  1.07E-03  1.90E-03  
36Cl  1.53E-07  4.31E-07  4.19E-07  7.10E-07  3.40E-06  7.78E-06  1.16E-05  
37Cl  1.80E-06  3.00E-06  4.26E-06  7.31E-06  1.27E-05  2.20E-05  3.07E-05  
36Ar  2.88E-03  6.08E-03  6.63E-03  8.93E-03  2.50E-02  3.99E-02  5.07E-02  
37Ar  2.67E-06  7.82E-06  5.68E-06  8.36E-06  6.58E-05  1.55E-04  2.65E-04  
38Ar  3.94E-05  1.41E-04  1.04E-04  1.80E-04  1.07E-03  2.31E-03  3.22E-03  
40Ar  1.16E-07  1.45E-07  2.05E-07  2.96E-07  3.58E-07  3.48E-07  3.92E-07  
39K   1.73E-05  5.49E-05  3.44E-05  4.83E-05  3.58E-04  6.07E-04  1.25E-03  
40K   2.09E-08  4.45E-08  5.99E-08  1.13E-07  8.16E-07  1.56E-06  3.24E-06  
41K   1.85E-07  1.93E-07  2.36E-07  3.14E-07  4.04E-07  4.73E-07  6.34E-07  
40Ca  2.84E-03  5.23E-03  5.90E-03  7.84E-03  1.87E-02  2.28E-02  2.17E-02  
41Ca  1.43E-06  3.51E-06  2.40E-06  2.74E-06  2.85E-05  3.64E-05  6.70E-05  
42Ca  1.99E-06  5.82E-06  3.60E-06  4.81E-06  4.10E-05  1.07E-04  1.77E-04  
43Ca  3.34E-08  6.69E-08  7.09E-08  1.22E-07  5.99E-07  1.50E-06  2.69E-06  
44Ca  4.45E-07  5.24E-07  6.63E-07  9.01E-07  1.18E-06  1.54E-06  2.21E-06  
45Ca  1.01E-08  1.87E-08  2.81E-08  3.10E-08  3.78E-08  2.99E-08  2.31E-08  
46Ca  8.80E-09  1.11E-08  1.50E-08  1.54E-08  1.43E-08  9.95E-09  4.53E-09  
47Ca  3.12E-09  2.56E-09  3.10E-09  3.43E-09  1.99E-09  1.43E-09  2.54E-10  
48Ca  2.75E-09  1.59E-09  1.74E-09  2.63E-09  1.65E-09  1.45E-09  1.30E-09  
43Sc  5.14E-07  8.18E-07  5.25E-07  3.03E-07  4.87E-07  6.57E-07  1.00E-06  
45Sc  6.81E-08  7.59E-08  1.02E-07  1.16E-07  3.54E-07  6.36E-07  2.27E-06  
44Ti  6.30E-05  5.53E-05  5.49E-05  3.02E-05  2.43E-05  2.46E-05  1.03E-04  
45Ti  1.62E-06  1.79E-06  2.73E-06  1.62E-06  7.91E-07  6.60E-07  1.58E-06  
46Ti  2.85E-06  5.16E-06  2.67E-06  2.34E-06  9.56E-06  1.74E-05  2.58E-05  
47Ti  1.68E-07  2.37E-07  2.02E-07  1.93E-07  5.22E-07  8.74E-07  2.16E-06  
48Ti  1.49E-06  1.62E-06  1.85E-06  2.18E-06  2.46E-06  2.78E-06  3.37E-06  
49Ti  8.16E-08  9.49E-08  1.26E-07  1.84E-07  2.42E-07  2.51E-07  3.03E-07  
50Ti  3.28E-08  6.57E-08  1.09E-07  2.08E-07  3.14E-07  2.63E-07  3.25E-07  
47V   8.54E-07  1.27E-06  1.08E-06  6.74E-07  5.46E-07  5.64E-07  5.13E-07  
48V   7.81E-07  7.91E-07  7.92E-07  8.53E-07  2.40E-06  3.61E-06  2.54E-05  
49V   5.97E-07  1.13E-06  7.29E-07  9.86E-07  1.73E-06  2.51E-06  4.60E-06  
50V   9.71E-10  1.90E-08  3.97E-09  1.01E-08  2.28E-08  2.40E-08  3.30E-08  
51V   8.01E-08  9.43E-08  1.08E-07  1.38E-07  1.62E-07  1.72E-07  2.08E-07  
48Cr  1.55E-04  1.60E-04  1.66E-04  1.50E-04  1.99E-04  2.28E-04  3.01E-04  
49Cr  3.96E-06  8.34E-06  5.19E-06  6.00E-06  8.45E-06  9.62E-06  7.46E-06  
50Cr  3.16E-06  6.64E-05  8.40E-06  1.77E-05  2.81E-05  3.24E-05  3.05E-05  
51Cr  7.35E-07  2.70E-06  1.45E-06  2.55E-06  4.52E-06  6.16E-06  7.07E-06  
52Cr  1.09E-05  1.65E-05  1.36E-05  1.65E-05  1.80E-05  1.98E-05  2.36E-05  
53Cr  6.01E-07  6.67E-07  7.52E-07  9.25E-07  1.00E-06  1.08E-06  1.23E-06  
54Cr  1.24E-07  2.53E-07  3.49E-07  6.55E-07  7.72E-07  5.85E-07  6.55E-07  
51Mn  4.60E-06  1.71E-05  9.87E-06  1.55E-05  2.40E-05  2.64E-05  1.90E-05  
52Mn  1.35E-05  1.83E-05  2.12E-05  3.18E-05  6.07E-05  8.61E-05  1.50E-04  
53Mn  2.57E-05  7.15E-05  4.35E-05  6.72E-05  1.04E-04  1.40E-04  1.34E-04  
54Mn  1.02E-07  2.36E-06  3.86E-07  8.05E-07  1.06E-06  1.18E-06  9.94E-07  
55Mn  2.33E-06  2.57E-06  2.90E-06  3.45E-06  3.67E-06  3.87E-06  4.35E-06  
52Fe  9.44E-04  1.36E-03  1.51E-03  2.02E-03  3.35E-03  3.95E-03  3.06E-03  
53Fe  2.32E-05  7.80E-05  4.73E-05  6.20E-05  9.06E-05  8.97E-05  4.98E-05  
54Fe  3.55E-04  5.63E-03  1.00E-03  1.88E-03  2.46E-03  2.85E-03  2.30E-03  
55Fe  2.29E-05  6.74E-05  3.10E-05  2.83E-05  3.77E-05  4.42E-05  7.72E-05  
56Fe  6.97E-04  8.03E-04  8.56E-04  1.01E-03  1.08E-03  1.17E-03  1.33E-03  
57Fe  2.32E-05  2.62E-05  3.00E-05  4.00E-05  4.36E-05  4.65E-05  5.37E-05  
58Fe  4.75E-06  1.05E-05  1.32E-05  2.63E-05  2.74E-05  2.07E-05  2.26E-05  
59Fe  1.67E-06  4.16E-06  4.60E-06  5.70E-06  5.78E-06  4.22E-06  2.05E-06  
60Fe  1.89E-06  2.93E-06  3.05E-06  3.51E-06  2.81E-06  1.83E-06  3.91E-07  
55Co  3.44E-04  7.92E-04  5.51E-04  5.81E-04  6.96E-04  7.66E-04  7.14E-04  
56Co  3.07E-04  3.50E-04  3.30E-04  2.44E-04  4.43E-04  5.84E-04  3.21E-03  
57Co  4.41E-05  6.05E-05  2.51E-05  1.44E-05  3.32E-05  4.73E-05  3.87E-04  
58Co  5.62E-06  8.77E-06  2.06E-06  9.01E-07  3.87E-07  3.89E-07  9.70E-07  
59Co  1.61E-06  2.83E-06  4.13E-06  8.11E-06  7.87E-06  6.89E-06  8.96E-06  
60Co  3.28E-07  4.03E-07  5.77E-07  9.88E-07  1.65E-06  8.66E-07  7.64E-07  
61Co  7.31E-07  6.41E-07  7.55E-07  1.26E-06  6.08E-07  3.54E-07  1.29E-07  
56Ni  1.77E-01  1.80E-01  1.95E-01  1.37E-01  1.22E-01  1.24E-01  2.03E-01  
57Ni  7.02E-03  7.35E-03  5.77E-03  3.26E-03  2.04E-03  1.86E-03  4.82E-03  
58Ni  8.26E-03  1.32E-02  3.81E-03  1.53E-03  4.84E-04  5.00E-04  1.61E-03  
59Ni  3.67E-04  4.85E-04  2.96E-04  1.39E-04  3.90E-05  3.13E-05  1.95E-04  
60Ni  6.72E-04  4.28E-04  4.27E-04  2.52E-04  5.13E-04  5.48E-04  4.06E-03  
61Ni  7.51E-06  7.01E-06  6.64E-06  7.27E-06  1.58E-05  1.71E-05  1.48E-04  
62Ni  7.11E-06  9.65E-06  1.02E-05  1.44E-05  2.27E-05  3.61E-05  1.84E-04  
63Ni  8.95E-07  1.35E-06  2.55E-06  3.43E-06  4.21E-06  2.29E-06  1.93E-06  
64Ni  1.39E-06  2.40E-06  5.07E-06  9.03E-06  1.62E-05  1.36E-05  1.80E-05  
65Ni  4.36E-07  4.38E-07  7.78E-07  6.44E-07  4.98E-07  4.35E-07  2.00E-07  
59Cu  2.33E-05  2.36E-05  1.99E-05  1.03E-05  2.96E-07  3.93E-08  5.83E-09  
60Cu  3.89E-03  3.08E-03  3.47E-03  1.95E-03  8.30E-04  5.53E-04  8.51E-04  
61Cu  2.87E-04  2.76E-04  2.34E-04  1.20E-04  5.05E-05  3.42E-05  1.20E-04  
62Cu  1.09E-05  1.38E-05  5.13E-06  1.99E-06  7.51E-07  5.93E-07  5.65E-06  
63Cu  1.71E-06  1.72E-06  1.57E-06  2.08E-06  3.18E-06  3.60E-06  1.30E-05  
64Cu  2.07E-08  6.57E-08  1.10E-07  2.90E-07  5.40E-07  2.00E-07  2.98E-07  
65Cu  2.55E-07  5.06E-07  1.28E-06  2.63E-06  4.61E-06  5.71E-06  8.18E-06  
66Cu  2.38E-08  3.04E-08  5.44E-08  9.20E-08  1.13E-07  8.33E-08  2.84E-08  
60Zn  6.13E-04  6.67E-04  9.25E-04  5.78E-04  7.47E-05  1.69E-05  7.72E-06  
61Zn  1.63E-05  1.68E-05  1.94E-05  1.17E-05  6.72E-07  7.65E-08  1.99E-08  
62Zn  1.47E-03  1.91E-03  8.00E-04  3.27E-04  6.99E-05  4.70E-05  3.32E-04  
63Zn  1.19E-05  1.19E-05  9.06E-06  4.79E-06  1.58E-06  9.93E-07  2.40E-06  
64Zn  5.15E-05  1.68E-05  2.49E-05  1.69E-05  2.26E-05  2.32E-05  8.05E-05  
65Zn  3.74E-07  3.80E-07  4.25E-07  4.69E-07  6.78E-07  8.43E-07  2.32E-06  
66Zn  6.53E-07  1.12E-06  2.78E-06  4.82E-06  9.33E-06  2.08E-05  3.21E-05  
67Zn  8.22E-08  1.54E-07  4.50E-07  7.91E-07  1.69E-06  1.19E-06  1.54E-06  
68Zn  4.32E-07  7.91E-07  2.14E-06  3.94E-06  1.03E-05  1.26E-05  1.74E-05  
69Zn  1.01E-07  9.20E-08  1.95E-07  2.17E-07  2.87E-07  3.32E-07  1.88E-07  
64Ga  1.23E-05  6.49E-06  1.19E-05  8.24E-06  2.40E-06  5.83E-07  5.15E-07  
65Ga  8.31E-07  7.89E-07  6.26E-07  3.17E-07  1.23E-07  7.37E-08  2.12E-07  
66Ga  1.15E-06  1.29E-06  5.51E-07  2.14E-07  4.12E-07  3.94E-07  7.45E-06  
67Ga  1.20E-08  1.77E-08  2.12E-08  3.60E-08  5.64E-08  3.68E-08  9.00E-08  
68Ga  8.29E-10  2.49E-09  7.79E-09  1.43E-08  2.08E-08  1.31E-08  1.94E-08  
69Ga  5.06E-08  1.22E-07  4.06E-07  6.73E-07  1.35E-06  3.32E-06  5.35E-06  
