elt   P30A      P30B      P35A      P35B      P35C      P40A      P40B      P40C    
42Ca  1.49E-06  7.13E-06  1.28E-06  2.03E-06  1.42E-05  1.27E-06  2.25E-06  1.37E-05  
43Ca  3.51E-07  5.11E-07  2.97E-07  4.61E-07  9.24E-07  2.99E-07  6.42E-07  1.78E-06  
44Ca  2.16E-06  2.14E-06  2.04E-06  2.60E-06  2.59E-06  2.15E-06  3.38E-06  3.38E-06  
45Ca  5.72E-08  5.64E-08  7.38E-08  1.09E-07  1.09E-07  9.07E-08  1.99E-07  1.98E-07  
46Ca  1.32E-08  1.29E-08  1.73E-08  2.79E-08  2.80E-08  2.00E-08  4.98E-08  4.96E-08  
47Ca  1.40E-10  1.38E-10  2.79E-10  4.75E-10  5.36E-10  2.91E-10  8.82E-10  9.15E-10  
48Ca  1.56E-09  1.56E-09  1.72E-09  1.77E-09  1.78E-09  1.93E-09  2.08E-09  2.09E-09  
43Sc  1.79E-09  1.60E-07  8.65E-10  2.68E-09  1.44E-06  2.42E-10  1.73E-09  6.49E-07  
45Sc  4.17E-07  1.94E-06  2.64E-07  4.83E-07  6.91E-07  1.86E-07  4.49E-07  1.02E-06  
44Ti  1.00E-08  5.14E-05  1.77E-09  2.26E-08  2.13E-04  3.57E-11  5.45E-09  2.27E-04  
45Ti  1.46E-09  5.33E-07  3.13E-10  2.70E-09  1.32E-06  4.29E-11  1.24E-09  3.44E-07  
46Ti  7.82E-07  3.17E-06  5.12E-07  1.09E-06  6.31E-06  4.02E-07  8.52E-07  6.11E-06  
47Ti  2.99E-07  8.68E-07  2.16E-07  4.04E-07  2.66E-06  1.89E-07  4.21E-07  4.19E-06  
48Ti  3.53E-06  3.69E-06  3.77E-06  3.97E-06  4.00E-06  4.15E-06  4.45E-06  5.35E-06  
49Ti  5.55E-07  5.52E-07  5.71E-07  7.27E-07  7.22E-07  6.21E-07  1.00E-06  1.00E-06  
50Ti  1.10E-06  1.08E-06  9.28E-07  1.50E-06  1.49E-06  8.74E-07  1.92E-06  1.92E-06  
47V   1.32E-09  1.86E-07  3.62E-10  2.64E-09  1.47E-06  2.34E-11  1.56E-09  1.02E-07  
48V   5.32E-09  2.26E-05  1.47E-09  8.80E-09  1.47E-05  2.12E-10  3.83E-09  1.37E-04  
49V   1.40E-07  3.48E-06  6.50E-08  2.02E-07  8.78E-06  1.74E-08  9.08E-08  2.45E-05  
50V   6.73E-08  6.97E-08  3.77E-08  8.29E-08  8.87E-08  1.78E-08  5.98E-08  7.13E-08  
51V   3.14E-07  3.38E-07  2.86E-07  3.92E-07  3.97E-07  2.81E-07  4.15E-07  6.81E-07  
48Cr  2.27E-10  2.01E-04  1.19E-11  3.51E-10  7.19E-04  2.96E-13  2.10E-10  6.53E-04  
49Cr  2.54E-10  4.48E-06  1.29E-11  4.86E-10  1.56E-05  6.77E-13  2.31E-10  3.46E-06  
50Cr  1.77E-07  1.48E-05  1.47E-07  3.33E-07  3.79E-05  1.50E-07  1.72E-07  5.44E-05  
51Cr  3.35E-08  7.21E-06  1.16E-08  9.13E-08  1.48E-05  2.07E-09  1.86E-08  5.18E-05  
52Cr  2.40E-05  3.08E-05  2.62E-05  2.67E-05  2.83E-05  2.92E-05  2.97E-05  9.08E-05  
53Cr  1.49E-06  1.49E-06  1.64E-06  1.70E-06  1.71E-06  1.82E-06  1.94E-06  1.95E-06  
54Cr  2.05E-06  2.02E-06  1.69E-06  2.53E-06  2.52E-06  1.72E-06  3.39E-06  3.38E-06  
51Mn  2.01E-10  1.06E-05  1.52E-11  4.02E-10  3.36E-05  3.07E-12  1.91E-10  6.30E-06  
52Mn  2.49E-09  3.65E-04  1.95E-10  5.34E-09  2.79E-04  2.82E-11  1.88E-09  3.22E-03  
53Mn  3.67E-08  1.18E-04  1.18E-08  7.66E-08  3.40E-04  2.29E-09  1.89E-08  4.66E-04  
54Mn  3.67E-08  5.74E-07  1.38E-08  5.19E-08  1.35E-06  1.91E-09  2.43E-08  1.91E-06  
55Mn  5.43E-06  5.44E-06  5.72E-06  5.98E-06  6.00E-06  6.26E-06  6.65E-06  6.74E-06  
52Fe  1.01E-11  2.43E-03  2.77E-13  1.67E-11  7.49E-03  2.58E-14  7.65E-12  5.45E-03  
53Fe  1.43E-11  2.49E-05  7.95E-13  3.14E-11  6.56E-05  3.83E-13  7.51E-12  5.07E-06  
54Fe  1.13E-05  1.58E-03  1.24E-05  1.25E-05  4.25E-03  1.38E-05  1.38E-05  6.26E-03  
55Fe  1.81E-07  7.96E-05  2.29E-07  4.01E-07  1.12E-04  2.65E-07  3.15E-07  5.04E-04  
56Fe  1.51E-03  1.53E-03  1.66E-03  1.67E-03  1.69E-03  1.85E-03  1.86E-03  1.92E-03  
57Fe  6.49E-05  6.53E-05  7.45E-05  7.85E-05  7.89E-05  8.42E-05  9.09E-05  9.20E-05  
58Fe  5.98E-05  5.92E-05  4.75E-05  7.12E-05  7.15E-05  4.96E-05  9.12E-05  9.20E-05  
59Fe  8.54E-07  8.77E-07  1.56E-06  2.32E-06  2.81E-06  3.21E-06  6.17E-06  6.50E-06  
60Fe  8.70E-08  8.68E-08  2.49E-07  4.19E-07  5.48E-07  3.49E-07  7.96E-07  8.82E-07  
55Co  3.30E-10  5.05E-04  1.25E-10  4.48E-10  1.74E-03  9.00E-11  3.05E-10  1.73E-03  
56Co  9.56E-09  4.95E-03  4.46E-09  1.18E-08  2.54E-03  3.26E-09  9.39E-09  2.23E-02  
