elt   T30A      T30B      T35A      T35B      T35C      T40A      T40B      T40C    
KE    1.28      1.84      1.23      2.03      2.47      1.21      2.00      2.54    
1H    11.6      11.6      12.8      12.8      12.8      13.7      13.7      13.7      
4He   10.3      10.3      12.0      12.0      12.1      13.9      13.9      13.9      
33S   4.61E-05  2.39E-04  3.01E-06  2.28E-04  2.46E-04  7.90E-07  1.38E-05  3.10E-04  
34S   1.05E-04  4.60E-04  1.50E-05  3.46E-04  3.69E-04  2.23E-06  2.14E-05  4.45E-04  
35S   1.65E-07  3.94E-07  2.71E-08  2.67E-07  2.62E-07  1.53E-08  4.67E-08  3.39E-07  
36S   4.79E-08  6.32E-08  6.06E-08  8.37E-08  8.35E-08  5.85E-08  9.79E-08  1.13E-07  
35Cl  6.94E-05  1.47E-04  5.56E-06  9.29E-05  9.22E-05  6.75E-07  8.71E-06  1.25E-04  
36Cl  1.37E-07  9.74E-07  1.60E-08  9.05E-07  8.84E-07  5.21E-09  2.14E-08  1.30E-06  
37Cl  6.64E-07  1.03E-06  7.82E-07  1.17E-06  1.17E-06  7.94E-07  1.08E-06  1.44E-06  
36Ar  1.15E-04  1.92E-02  1.56E-05  2.19E-02  2.25E-02  1.51E-05  2.32E-05  3.98E-02  
37Ar  6.44E-07  1.47E-05  3.34E-08  1.42E-05  1.51E-05  1.65E-08  8.74E-08  1.81E-05  
38Ar  2.27E-06  1.49E-04  1.89E-06  1.34E-04  1.42E-04  1.59E-06  3.11E-06  1.72E-04  
40Ar  3.06E-08  3.06E-08  5.17E-08  6.07E-08  6.03E-08  4.88E-08  8.89E-08  8.86E-08  
39K   2.31E-06  6.44E-05  8.94E-07  6.48E-05  7.14E-05  5.91E-07  1.57E-06  9.88E-05  
40K   2.07E-08  5.67E-08  2.81E-08  6.69E-08  6.48E-08  2.36E-08  4.83E-08  8.39E-08  
41K   2.65E-08  3.04E-08  3.78E-08  4.53E-08  4.50E-08  3.74E-08  5.64E-08  5.97E-08  
