elt   S30A      S30B      S35A      S35B      S35C      S40A      S40B      S40C   
57Co  8.48E-07  1.79E-03  2.53E-07  1.65E-06  2.49E-03  1.04E-07  4.27E-07  8.82E-04  
58Co  5.32E-07  1.25E-05  2.13E-07  1.46E-06  2.35E-05  1.06E-07  5.00E-07  1.82E-05  
59Co  3.31E-04  3.99E-04  3.46E-04  5.31E-04  5.55E-04  2.98E-04  5.74E-04  6.55E-04  
60Co  8.64E-05  1.06E-04  6.69E-05  1.41E-04  1.40E-04  5.87E-05  1.69E-04  1.89E-04  
61Co  2.89E-05  4.46E-05  1.97E-05  6.92E-05  7.21E-05  6.25E-06  3.61E-05  7.11E-05  
56Ni  2.93E-11  4.40E-01  6.41E-12  5.83E-11  5.68E-01  2.27E-12  1.73E-11  6.91E-01  
57Ni  1.32E-09  1.36E-02  1.25E-09  1.40E-09  1.72E-02  1.09E-09  9.97E-10  2.11E-02  
58Ni  1.02E-03  2.26E-02  1.13E-03  1.13E-03  3.79E-02  1.15E-03  1.15E-03  3.57E-02  
59Ni  1.85E-05  1.12E-03  2.16E-05  2.25E-05  1.49E-03  2.14E-05  2.09E-05  1.56E-03  
60Ni  6.97E-04  1.09E-02  7.53E-04  9.06E-04  1.30E-02  7.14E-04  9.73E-04  1.31E-02  
61Ni  2.48E-04  7.86E-04  2.24E-04  3.70E-04  9.79E-04  1.89E-04  4.23E-04  7.19E-04  
62Ni  7.77E-04  2.48E-03  5.28E-04  1.05E-03  3.24E-03  4.10E-04  9.26E-04  2.11E-03  
63Ni  2.97E-04  3.45E-04  3.04E-04  5.67E-04  5.64E-04  2.38E-04  7.10E-04  7.49E-04  
64Ni  1.18E-03  1.48E-03  9.51E-04  1.88E-03  1.91E-03  7.15E-04  1.92E-03  2.27E-03  
65Ni  5.25E-06  7.15E-06  7.17E-06  1.57E-05  1.62E-05  6.33E-06  2.43E-05  2.96E-05  
59Cu  3.67E-13  4.91E-10  4.94E-13  6.00E-13  1.34E-12  4.15E-13  4.97E-13  9.80E-13  
60Cu  7.36E-09  1.31E-05  5.07E-09  1.07E-08  2.44E-07  2.96E-09  1.04E-08  1.68E-03  
61Cu  5.83E-08  1.73E-04  2.39E-08  7.54E-08  2.02E-04  1.23E-08  5.86E-08  6.02E-04  
62Cu  2.12E-08  3.83E-05  8.66E-09  2.80E-08  5.57E-05  4.57E-09  1.81E-08  7.38E-05  
63Cu  5.70E-05  9.30E-05  6.25E-05  8.03E-05  1.22E-04  5.93E-05  8.67E-05  1.28E-04  
64Cu  6.22E-06  9.85E-06  4.50E-06  1.18E-05  1.20E-05  3.02E-06  1.00E-05  1.50E-05  
65Cu  2.01E-04  2.63E-04  2.16E-04  3.86E-04  4.10E-04  1.91E-04  4.39E-04  5.51E-04  
66Cu  4.06E-07  1.16E-06  5.39E-07  1.92E-06  2.36E-06  5.93E-07  2.17E-06  3.91E-06  
60Zn  6.22E-15  4.70E-08  2.29E-15  7.18E-15  1.19E-13  9.28E-16  4.43E-15  2.31E-09  
61Zn  4.38E-15  5.39E-11  9.38E-16  3.60E-15  5.02E-15  3.40E-16  1.72E-15  7.25E-14  
62Zn  2.29E-09  2.13E-03  1.83E-09  3.92E-09  3.09E-03  1.36E-09  3.77E-09  4.14E-03  
63Zn  6.54E-09  6.19E-08  5.96E-09  1.19E-08  5.26E-08  4.38E-09  1.45E-08  7.48E-06  
64Zn  5.58E-05  1.15E-04  6.66E-05  8.18E-05  1.44E-04  6.56E-05  1.03E-04  1.75E-04  
65Zn  7.04E-06  1.10E-05  1.01E-05  1.72E-05  2.02E-05  1.03E-05  2.52E-05  3.01E-05  
66Zn  3.26E-04  4.57E-04  3.51E-04  5.94E-04  6.92E-04  3.06E-04  7.45E-04  9.00E-04  
67Zn  1.09E-04  1.27E-04  1.16E-04  2.03E-04  2.02E-04  9.81E-05  2.64E-04  2.75E-04  
68Zn  9.98E-04  1.32E-03  7.60E-04  1.64E-03  1.71E-03  5.28E-04  1.53E-03  1.98E-03  
69Zn  7.74E-06  1.14E-05  1.16E-05  2.87E-05  2.95E-05  8.10E-06  4.01E-05  4.85E-05  
65Ga  7.08E-10  1.07E-09  5.33E-10  1.23E-09  1.37E-09  3.53E-10  1.38E-09  8.31E-08  
64Ga  0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      
