# Integrated yields for Nomoto 06 Type II, with no HN.
# Integrated from 0.07 to 50 solar masses using the Kroupa IMF.
# elt  Z=0           Z=0.001       Z=0.004       Z=0.02        
H_1    5.24E-02      5.04E-02      4.84E-02      4.28E-02      
H_2    9.40E-19      3.50E-15      1.87E-16      2.79E-17      
He_3   4.71E-07      8.80E-07      1.08E-06      1.25E-06      
He_4   3.60E-02      3.57E-02      3.62E-02      3.51E-02      
Li_6   5.18E-24      1.28E-19      6.10E-19      5.62E-20      
Li_7   2.02E-11      1.19E-12      3.64E-15      1.05E-13      
Be_9   8.95E-21      1.17E-18      1.09E-18      8.54E-21      
B_10   9.35E-21      4.12E-14      2.62E-13      7.71E-13      
B_11   1.34E-17      1.83E-13      3.56E-11      3.32E-12      
C_12   1.21E-03      7.32E-04      7.54E-04      9.96E-04      
C_13   2.45E-10      6.27E-07      4.93E-05      5.48E-05      
N_14   5.84E-06      4.61E-05      1.45E-04      4.01E-04      
N_15   4.92E-10      2.23E-08      4.26E-05      3.38E-05      
O_16   1.19E-02      1.18E-02      9.16E-03      7.89E-03      
O_17   5.97E-09      2.44E-07      1.41E-06      6.14E-06      
O_18   9.43E-09      3.86E-06      4.76E-05      9.07E-05      
F_19   1.17E-11      1.13E-08      8.82E-08      1.84E-07      
Ne_20  2.48E-03      2.83E-03      2.48E-03      2.38E-03      
Ne_21  1.95E-07      1.36E-06      2.55E-06      6.57E-06      
Ne_22  1.61E-07      6.18E-06      1.57E-05      4.90E-05      
Na_23  8.49E-06      1.66E-05      3.31E-05      7.64E-05      
Mg_24  8.35E-04      9.30E-04      7.06E-04      5.91E-04      
Mg_25  1.46E-06      1.01E-05      2.52E-05      8.67E-05      
Mg_26  1.59E-06      9.73E-06      2.41E-05      7.62E-05      
Al_26  8.79E-09      3.34E-08      5.13E-08      1.94E-07      
Al_27  1.82E-05      3.40E-05      4.42E-05      8.66E-05      
Si_28  1.10E-03      8.75E-04      8.81E-04      6.67E-04      
Si_29  3.39E-06      6.96E-06      1.02E-05      2.48E-05      
Si_30  4.40E-06      8.33E-06      1.30E-05      2.71E-05      
P_31   1.68E-06      2.55E-06      2.81E-06      7.07E-06      
S_32   4.67E-04      3.74E-04      3.69E-04      2.91E-04      
S_33   1.01E-06      1.10E-06      1.24E-06      1.75E-06      
S_34   2.13E-06      3.59E-06      6.89E-06      1.26E-05      
S_36   4.41E-11      3.27E-09      1.90E-08      1.07E-07      
Cl_35  3.01E-07      3.73E-07      3.95E-07      9.31E-07      
Cl_37  1.30E-07      1.10E-07      1.93E-07      6.46E-07      
Ar_36  7.26E-05      5.87E-05      5.75E-05      4.68E-05      
Ar_38  1.20E-06      1.31E-06      2.81E-06      5.22E-06      
Ar_40  3.33E-13      6.53E-10      4.29E-09      1.31E-08      
K_39   1.54E-07      1.64E-07      2.60E-07      4.61E-07      
K_40   2.38E-11      1.07E-10      1.88E-10      9.27E-10      
K_41   3.53E-08      2.36E-08      2.88E-08      6.34E-08      
Ca_40  5.82E-05      4.75E-05      4.76E-05      3.87E-05      
Ca_42  2.79E-08      3.67E-08      6.75E-08      1.30E-07      
Ca_43  2.64E-10      1.94E-09      4.56E-09      1.34E-08      
Ca_44  8.82E-08      9.72E-08      1.38E-07      2.63E-07      
Ca_46  1.31E-13      2.82E-10      1.20E-09      4.26E-09      
Ca_48  9.08E-15      1.15E-09      4.37E-09      2.05E-08      
Sc_45  1.03E-09      1.75E-09      3.57E-09      9.73E-09      
Ti_46  2.75E-08      3.02E-08      4.04E-08      5.99E-08      
Ti_47  2.71E-08      1.99E-08      2.40E-08      3.23E-08      
Ti_48  6.30E-07      6.75E-07      7.11E-07      7.95E-07      
Ti_49  2.71E-08      3.09E-08      3.56E-08      5.08E-08      
Ti_50  1.03E-14      3.50E-09      1.20E-08      4.06E-08      
V_50   4.53E-13      7.85E-11      1.31E-10      4.30E-10      
V_51   7.72E-08      6.23E-08      7.70E-08      8.34E-08      
Cr_50  1.85E-07      1.75E-07      2.17E-07      2.47E-07      
Cr_52  9.81E-06      9.90E-06      1.02E-05      9.34E-06      
Cr_53  5.76E-07      6.04E-07      6.48E-07      7.01E-07      
Cr_54  3.81E-11      9.52E-09      2.98E-08      1.13E-07      
Mn_55  1.60E-06      1.76E-06      2.06E-06      2.81E-06      
Fe_54  1.26E-05      1.37E-05      1.57E-05      1.88E-05      
Fe_56  4.23E-04      4.32E-04      4.55E-04      5.22E-04      
Fe_57  5.13E-06      6.85E-06      8.59E-06      1.34E-05      
Fe_58  7.69E-12      3.10E-07      8.64E-07      3.74E-06      
Co_59  7.05E-07      5.80E-07      1.04E-06      1.54E-06      
Ni_58  2.34E-06      4.21E-06      2.07E-05      1.10E-05      
Ni_60  7.82E-06      6.99E-06      8.60E-06      1.14E-05      
Ni_61  1.28E-07      2.41E-07      4.91E-07      8.17E-07      
Ni_62  7.01E-08      7.19E-07      2.88E-06      2.20E-06      
Ni_64  2.53E-15      1.47E-07      4.20E-07      1.39E-06      
Cu_63  1.82E-08      5.65E-08      1.59E-07      6.29E-07      
Cu_65  8.92E-10      5.01E-08      1.43E-07      3.70E-07      
Zn_64  4.91E-07      2.67E-07      5.19E-07      4.78E-07      
Zn_66  3.05E-09      8.42E-08      2.64E-07      6.15E-07      
Zn_67  7.12E-11      1.16E-08      3.81E-08      1.31E-07      
Zn_68  1.44E-10      6.84E-08      2.26E-07      7.83E-07      
Zn_70  1.03E-16      5.59E-10      1.80E-09      1.96E-08      
Ga_69  2.83E-11      7.83E-09      2.88E-08      8.19E-08      
Ga_71  3.90E-16      7.58E-09      2.46E-08      6.81E-08      
