# Integrated yields for WW 95 Type II, using the highest energy models for each mass.
# Integrated from 0.07 to 50 solar masses using the Kroupa IMF.
# elt  Z=0           Z=10^-4Z_sun  Z=0.001Z_sun  Z=0.1Z_sun    Z=Z_sun       
Co_57  1.40E-06      7.35E-07      1.08E-06      1.03E-06      2.29E-06      
Co_58  3.61E-08      3.91E-09      1.37E-08      2.45E-08      4.11E-08      
Co_59  4.55E-11      5.47E-11      3.11E-09      5.35E-08      1.24E-06      
Co_60  1.33E-12      2.96E-12      3.61E-10      6.59E-09      2.21E-07      
Co_61  2.44E-12      1.64E-11      5.48E-10      3.92E-09      1.69E-07      
Ni_56  9.66E-04      9.37E-04      1.21E-03      1.31E-03      1.05E-03      
Ni_57  3.26E-05      2.31E-05      3.30E-05      3.78E-05      3.49E-05      
Ni_58  4.20E-05      8.00E-06      2.07E-05      3.61E-05      6.33E-05      
Ni_59  1.83E-06      7.90E-07      1.36E-06      1.92E-06      2.54E-06      
Ni_60  2.04E-05      1.11E-05      1.17E-05      1.14E-05      1.66E-05      
Ni_61  4.50E-07      2.40E-07      3.15E-07      3.19E-07      1.30E-06      
Ni_62  1.07E-06      2.54E-07      3.34E-07      5.12E-07      4.31E-06      
Ni_63  2.16E-12      7.15E-12      1.13E-09      2.28E-08      8.89E-07      
Ni_64  4.77E-12      2.78E-11      7.34E-09      1.13E-07      2.91E-06      
Ni_65  0.00E+00      0.00E+00      1.47E-10      3.03E-09      8.43E-08      
Cu_59  6.81E-12      1.88E-09      5.12E-08      7.84E-08      4.19E-08      
Cu_60  6.78E-06      1.15E-05      1.59E-05      1.58E-05      7.85E-06      
Cu_61  1.13E-06      8.74E-07      1.20E-06      1.30E-06      9.36E-07      
Cu_62  1.13E-07      2.05E-08      3.41E-08      5.36E-08      8.60E-08      
Cu_63  5.78E-08      2.45E-08      2.57E-08      4.08E-08      2.31E-07      
Cu_64  2.07E-12      7.83E-13      1.58E-10      2.20E-09      2.66E-08      
Cu_65  1.85E-11      1.13E-11      2.69E-09      3.64E-08      6.71E-07      
Cu_66  6.03E-15      1.43E-14      1.29E-11      3.51E-10      1.05E-08      
Zn_60  3.70E-08      5.71E-07      2.16E-06      2.89E-06      1.14E-06      
Zn_61  1.11E-10      4.66E-09      4.48E-08      6.47E-08      3.17E-08      
Zn_62  6.06E-06      1.56E-06      3.72E-06      5.91E-06      7.17E-06      
Zn_63  2.16E-08      4.69E-08      4.82E-08      4.53E-08      3.05E-08      
Zn_64  5.61E-07      7.86E-07      6.75E-07      2.86E-07      3.15E-07      
Zn_65  7.56E-09      5.56E-09      5.05E-09      7.46E-09      3.08E-08      
Zn_66  1.07E-08      3.71E-09      1.12E-08      8.48E-08      1.14E-06      
Zn_67  1.01E-11      3.57E-12      8.08E-10      1.30E-08      2.62E-07      
Zn_68  1.06E-11      2.75E-11      6.30E-09      8.31E-08      2.31E-06      
Zn_69  7.57E-12      5.09E-12      6.26E-11      1.27E-09      6.04E-08      
Ga_64  5.30E-09      4.66E-08      1.03E-07      4.01E-08      1.35E-08      
Ga_65  1.68E-09      3.75E-09      4.00E-09      2.94E-09      2.21E-09      
Ga_66  6.20E-08      1.40E-08      1.74E-08      1.96E-08      5.66E-08      
Ga_67  3.01E-10      4.88E-11      1.19E-10      4.47E-10      9.78E-10      
Ga_68  4.57E-14      3.56E-14      1.54E-11      1.32E-10      7.08E-10      
Ga_69  2.62E-11      7.83E-12      1.34E-09      1.48E-08      2.23E-07      
Ga_70  2.86E-12      5.85E-13      4.29E-11      7.66E-10      3.32E-08      
Ge_64  6.86E-12      6.41E-10      4.03E-09      2.85E-09      7.87E-10      
Ge_65  2.91E-18      1.51E-14      4.93E-12      5.58E-12      2.55E-12      
Ge_66  1.01E-07      4.24E-08      8.13E-08      1.12E-07      1.07E-07      
Ge_67  2.40E-11      3.74E-11      8.47E-11      1.02E-10      6.56E-13      
Ge_68  2.89E-10      1.01E-11      5.27E-11      1.64E-10      1.62E-10      
Ge_69  5.74E-13      3.00E-14      1.96E-11      1.49E-10      1.34E-09      
Ge_70  2.76E-11      9.48E-12      4.65E-09      4.42E-08      5.90E-07      
Ge_71  3.72E-11      6.51E-11      5.65E-09      6.69E-08      1.60E-06      
