# Integrated yields for Nomoto 06 Type II, with 50% HN fraction.
# Integrated from 0.07 to 50 solar masses using the Kroupa IMF.
# elt  Z=0           Z=0.001       Z=0.004       Z=0.02        
H_1    5.24E-02      5.04E-02      4.84E-02      4.28E-02      
H_2    6.81E-18      3.54E-15      3.72E-16      6.35E-16      
He_3   4.71E-07      8.80E-07      1.08E-06      1.25E-06      
He_4   3.60E-02      3.57E-02      3.62E-02      3.52E-02      
Li_6   1.93E-20      2.59E-19      1.22E-18      2.08E-18      
Li_7   2.02E-11      1.19E-12      3.20E-15      1.05E-13      
Be_9   2.01E-20      1.19E-18      1.20E-18      7.04E-19      
B_10   3.15E-17      4.12E-14      2.62E-13      7.71E-13      
B_11   6.36E-16      1.83E-13      1.94E-11      3.32E-12      
C_12   1.17E-03      7.15E-04      7.19E-04      9.41E-04      
C_13   2.90E-10      6.27E-07      4.93E-05      5.47E-05      
N_14   5.86E-06      4.61E-05      1.45E-04      4.01E-04      
N_15   5.89E-10      2.25E-08      4.26E-05      3.39E-05      
O_16   1.11E-02      1.13E-02      8.56E-03      7.61E-03      
O_17   5.98E-09      2.44E-07      1.41E-06      6.14E-06      
O_18   9.50E-09      3.88E-06      4.73E-05      8.87E-05      
F_19   3.14E-11      1.08E-08      8.71E-08      1.88E-07      
Ne_20  2.22E-03      2.56E-03      2.11E-03      2.07E-03      
Ne_21  1.86E-07      1.25E-06      2.42E-06      6.59E-06      
Ne_22  1.37E-07      5.96E-06      1.41E-05      4.65E-05      
Na_23  7.86E-06      1.52E-05      2.75E-05      6.47E-05      
Mg_24  8.29E-04      9.12E-04      6.93E-04      5.83E-04      
Mg_25  1.45E-06      9.47E-06      2.35E-05      7.77E-05      
Mg_26  1.55E-06      9.02E-06      2.26E-05      7.00E-05      
Al_26  1.46E-08      3.70E-08      5.40E-08      1.94E-07      
Al_27  1.69E-05      3.22E-05      4.07E-05      7.99E-05      
Si_28  1.02E-03      8.64E-04      8.69E-04      6.99E-04      
Si_29  3.79E-06      7.38E-06      1.13E-05      2.78E-05      
Si_30  4.18E-06      8.37E-06      1.35E-05      3.21E-05      
P_31   1.58E-06      2.54E-06      3.07E-06      8.00E-06      
S_32   4.03E-04      3.60E-04      3.53E-04      3.00E-04      
S_33   1.03E-06      1.32E-06      1.68E-06      2.45E-06      
S_34   2.04E-06      4.20E-06      8.86E-06      1.94E-05      
S_36   4.63E-11      3.28E-09      2.12E-08      1.09E-07      
Cl_35  2.84E-07      4.12E-07      5.04E-07      1.18E-06      
Cl_37  1.11E-07      1.23E-07      2.11E-07      6.24E-07      
Ar_36  6.07E-05      5.50E-05      5.40E-05      4.63E-05      
Ar_38  1.00E-06      1.46E-06      3.35E-06      6.74E-06      
Ar_40  3.23E-13      7.37E-10      5.47E-09      1.65E-08      
K_39   1.41E-07      1.85E-07      3.10E-07      5.40E-07      
K_40   1.89E-11      1.09E-10      1.96E-10      1.11E-09      
K_41   2.71E-08      2.56E-08      3.30E-08      6.65E-08      
Ca_40  4.82E-05      4.35E-05      4.33E-05      3.66E-05      
Ca_42  2.35E-08      3.93E-08      8.00E-08      1.69E-07      
Ca_43  4.28E-10      2.20E-09      4.98E-09      1.50E-08      
Ca_44  2.33E-07      2.87E-07      2.31E-07      3.60E-07      
Ca_46  8.90E-14      3.00E-10      1.43E-09      4.94E-09      
Ca_48  1.09E-14      1.14E-09      4.77E-09      2.02E-08      
Sc_45  8.38E-10      1.79E-09      3.85E-09      1.06E-08      
Ti_46  3.03E-08      3.97E-08      4.59E-08      7.55E-08      
Ti_47  4.30E-08      4.46E-08      2.99E-08      3.90E-08      
Ti_48  6.95E-07      7.71E-07      7.34E-07      8.28E-07      
Ti_49  2.37E-08      2.66E-08      3.12E-08      4.58E-08      
Ti_50  1.56E-14      3.30E-09      1.08E-08      3.86E-08      
V_50   3.03E-13      7.05E-11      1.24E-10      5.19E-10      
V_51   9.66E-08      9.38E-08      8.04E-08      8.93E-08      
Cr_50  1.48E-07      1.54E-07      1.95E-07      2.62E-07      
Cr_52  8.29E-06      8.29E-06      8.73E-06      7.76E-06      
Cr_53  4.81E-07      4.93E-07      5.55E-07      6.06E-07      
Cr_54  2.43E-11      9.06E-09      2.77E-08      1.06E-07      
Mn_55  1.32E-06      1.45E-06      1.77E-06      2.52E-06      
Fe_54  1.01E-05      1.13E-05      1.31E-05      1.77E-05      
Fe_56  4.93E-04      5.33E-04      4.96E-04      5.34E-04      
Fe_57  7.28E-06      9.75E-06      1.05E-05      1.49E-05      
Fe_58  6.25E-12      2.92E-07      7.83E-07      3.46E-06      
Co_59  1.13E-06      1.13E-06      1.19E-06      1.68E-06      
Ni_58  3.07E-06      5.10E-06      2.10E-05      1.26E-05      
Ni_60  1.24E-05      1.35E-05      1.16E-05      1.37E-05      
Ni_61  2.02E-07      3.55E-07      6.53E-07      1.21E-06      
Ni_62  1.20E-07      7.80E-07      3.00E-06      2.74E-06      
Ni_64  1.17E-14      1.32E-07      3.59E-07      1.30E-06      
Cu_63  3.27E-08      7.32E-08      1.53E-07      5.73E-07      
Cu_65  2.02E-09      4.85E-08      1.30E-07      3.55E-07      
